cc,year,lnlmtue,constant,lnlmtue_1,lngdp_pc,UR,LEFTC,DENSITY,DEIND,OLDAGE,TRADE,FDI,LLVOTE,TCDEMC,GOVCON,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y87
1,1987,7.29,1,7.39,3.04,3.80,47,49.60,72.85,14.71,50.07,0.34,4.80,47,19.87259,0,0,0,0,0,0,0,0,0,0,0,1
2,1987,6.78,1,6.73,2.98,11.30,0,51.60,82.87,14.29,115.94,1.64,7.10,53,22.62659,0,0,0,0,0,0,0,0,0,0,0,1
3,1987,8.06,1,8.10,3.14,5.40,0,75,74.19,15.36,48.55,0.08,15.90,6,25.79847,0,0,0,0,0,0,0,0,0,0,0,1
4,1987,7.61,1,7.54,3.02,5,45,70.70,70,12.85,44.65,0.30,4,0,21.26102,0,0,0,0,0,0,0,0,0,0,0,1
5,1987,7.10,1,7.10,3.03,10.50,0,11.90,78.33,13.45,34.05,0.57,1.20,0,23.08452,0,0,0,0,0,0,0,0,0,0,0,1
6,1987,7.62,1,7.37,3.11,6.20,0,33.30,71.43,15.30,45.52,0.17,8.30,82,21.25537,0,0,0,0,0,0,0,0,0,0,0,1
7,1987,4.92,1,4.94,2.57,7.40,100,36.30,67.09,13.45,34.94,1.21,0,0,16.04054,0,0,0,0,0,0,0,0,0,0,0,1
8,1987,6.90,1,6.94,2.54,16.80,4,50.20,77.73,10.98,91.09,0.27,0.40,0,18.86067,0,0,0,0,0,0,0,0,0,0,0,1
9,1987,7.18,1,6.95,2.99,9.60,0,24.90,83.50,12.42,81.56,1.34,3.30,57,25.18271,0,0,0,0,0,0,0,0,0,0,0,1
10,1987,7.11,1,7.63,3.27,2.10,100,55.70,73.97,16.11,48.49,0.21,5.50,0,20.76581,0,0,0,0,0,0,0,0,0,0,0,1
11,1987,6.21,1,6.22,2.42,7,0,47.70,71.85,12.71,53.23,1.06,0,13,14.05288,0,0,0,0,0,0,0,0,0,0,0,1
12,1987,5.56,1,4.81,2.66,19.90,100,9.10,83.27,12.73,27.50,1.51,0,0,15.88423,0,0,0,0,0,0,0,0,0,0,0,1
13,1987,9.20,1,8.85,3.09,2.30,100,85.20,72.98,17.68,50.58,0.38,1.50,0,26.64248,0,0,0,0,0,0,0,0,0,0,0,1
14,1987,6.56,1,6.51,3.29,0.70,28,25.80,68.39,14.24,54.01,1.30,9,28,10.4951,0,0,0,0,0,0,0,0,0,0,0,1
15,1987,5.67,1,5.52,2.96,10.80,0,44.50,78.49,15.48,41.66,2.32,0,0,20.37647,0,0,0,0,0,0,0,0,0,0,0,1
1,1988,6.84,1,7.29,3.07,3.60,47,48.90,70.46,14.92,52.42,0.34,4.80,47,19.62745,1,0,0,0,0,0,0,0,0,0,0,0
2,1988,6.91,1,6.78,3.02,10.30,24,51.40,83.11,14.51,118.43,3.34,7.10,48,21.24243,1,0,0,0,0,0,0,0,0,0,0,0
3,1988,7.50,1,8.06,3.15,6.50,0,73.80,74.56,15.46,50.15,0.45,14.40,4,26.27794,1,0,0,0,0,0,0,0,0,0,0,0
4,1988,7.77,1,7.61,3.06,4.50,44,72.30,70.78,13.04,40.45,0.50,4,0,20.42934,1,0,0,0,0,0,0,0,0,0,0,0
5,1988,7.39,1,7.10,3.07,10,48,11.20,78.68,13.66,35.38,0.87,0.40,0,22.71735,1,0,0,0,0,0,0,0,0,0,0,0
6,1988,7.73,1,7.62,3.14,6.20,0,33.10,72.19,15.42,46.65,0.08,8.30,79,21.00694,1,0,0,0,0,0,0,0,0,0,0,0
7,1988,5.75,1,4.92,2.61,7.70,100,34.90,67.70,13.53,27.10,1.38,0,0,14.11014,1,0,0,0,0,0,0,0,0,0,0,0
8,1988,7.03,1,6.90,2.59,16.20,0,50.50,77.80,11.05,94.63,0.25,0.40,0,17.19063,1,0,0,0,0,0,0,0,0,0,0,0
9,1988,7.26,1,7.18,3.01,9.20,0,24.70,81.82,12.58,84.15,1.98,3.30,57,24.56606,1,0,0,0,0,0,0,0,0,0,0,0
10,1988,6.86,1,7.11,3.26,3.20,100,56.10,74.90,16.20,46.25,0.28,5.50,0,20.91129,1,0,0,0,0,0,0,0,0,0,0,0
11,1988,6.61,1,6.21,2.49,5.70,0,42.30,71.62,13.01,56.41,1.80,0,26,14.59208,1,0,0,0,0,0,0,0,0,0,0,0
12,1988,5.77,1,5.56,2.71,18.90,100,9.60,83.26,13.10,27.96,1.96,0,0,15.72831,1,0,0,0,0,0,0,0,0,0,0,0
13,1988,9.40,1,9.20,3.11,1.90,100,84.30,73.03,17.76,50.14,0.88,5.50,0,26.03572,1,0,0,0,0,0,0,0,0,0,0,0
14,1988,6.72,1,6.56,3.32,0.60,28,25.20,69.08,14.28,55.64,0.21,9,28,10.65525,1,0,0,0,0,0,0,0,0,0,0,0
15,1988,6.40,1,5.67,3.01,8.80,0,42.60,78.15,15.56,40.15,2.71,0,0,19.67245,1,0,0,0,0,0,0,0,0,0,0,0
1,1989,7.14,1,6.84,3.11,3.10,47,48,70.79,15.08,55.20,0.46,4.80,47,19.26538,0,1,0,0,0,0,0,0,0,0,0,0
2,1989,7.10,1,6.91,3.05,9.30,47,52.40,82.83,14.71,125.86,4.45,7.10,42,20.55051,0,1,0,0,0,0,0,0,0,0,0,0
3,1989,7.34,1,7.50,3.15,8.10,0,75.60,74.67,15.55,53.38,1.01,14.40,0,25.94053,0,1,0,0,0,0,0,0,0,0,0,0
4,1989,8.07,1,7.77,3.11,3.10,44,73,70.75,13.22,41.46,0.43,4,0,20.17714,0,1,0,0,0,0,0,0,0,0,0,0
5,1989,7.46,1,7.39,3.10,9.40,62,10.70,78.84,13.90,37.89,1.05,0.40,0,22.29153,0,1,0,0,0,0,0,0,0,0,0,0
6,1989,7.90,1,7.73,3.16,5.50,0,32.40,72.37,15.38,49.79,0.53,8.30,79,20.14795,0,1,0,0,0,0,0,0,0,0,0,0
7,1989,6.75,1,5.75,2.64,7.50,66,33.70,68.09,13.61,34.85,1.11,0.30,0,14.98374,0,1,0,0,0,0,0,0,0,0,0,0
8,1989,7.08,1,7.03,2.65,15,0,51.80,77.45,11.27,101.18,0.23,1.50,0,15.96443,0,1,0,0,0,0,0,0,0,0,0,0
9,1989,7.43,1,7.26,3.05,8.30,12,25.10,81.53,12.74,89.35,3.60,4.50,55,23.80416,0,1,0,0,0,0,0,0,0,0,0,0
10,1989,7.91,1,6.86,3.27,4.90,75,58,76.55,16.28,51.05,1.53,11.30,8,20.80116,0,1,0,0,0,0,0,0,0,0,0,0
11,1989,6.59,1,6.61,2.56,5,0,37.60,71.58,13.31,57.93,3.16,0.30,26,15.351,0,1,0,0,0,0,0,0,0,0,0,0
12,1989,5.97,1,5.77,2.75,17,100,10,83.53,13.46,29.41,2.14,0.40,0,16.24116,0,1,0,0,0,0,0,0,0,0,0,0
13,1989,9.37,1,9.40,3.13,1.60,100,83.40,73.04,17.83,50.11,0.90,5.50,0,26.22939,0,1,0,0,0,0,0,0,0,0,0,0
14,1989,7.02,1,6.72,3.35,0.50,28,24.80,69.05,14.32,59.27,1.35,9,28,10.82915,0,1,0,0,0,0,0,0,0,0,0,0
15,1989,7.13,1,6.40,3.02,7.20,0,40.60,77.75,15.64,41.61,3.76,0,0,19.41505,0,1,0,0,0,0,0,0,0,0,0,0
1,1990,7.35,1,7.14,3.14,3.20,47,46.90,70.64,15.13,55.92,0.40,6.80,47,18.94817,0,0,1,0,0,0,0,0,0,0,0,0
2,1990,7.13,1,7.10,3.08,8.70,47,53.90,82.68,14.92,120.40,4.08,7.10,42,20.31149,0,0,1,0,0,0,0,0,0,0,0,0
3,1990,7.21,1,7.34,3.16,8.30,0,75.30,74.80,15.58,52.64,0.85,9.20,0,25.55764,0,0,1,0,0,0,0,0,0,0,0,0
4,1990,8.12,1,8.07,3.10,3.10,44,72.30,71.15,13.38,39.11,0.59,4,0,21.64396,0,0,1,0,0,0,0,0,0,0,0,0
5,1990,7.57,1,7.46,3.12,8.90,64,10.10,79.02,14.07,37.09,1.08,0.40,0,22.25909,0,0,1,0,0,0,0,0,0,0,0,0
6,1990,8.20,1,7.90,3.20,4.70,0,31.20,72.41,15.32,46.48,0.18,5.30,79,19.69475,0,0,1,0,0,0,0,0,0,0,0,0
7,1990,6.69,1,6.75,2.64,7,15,32.40,68.59,13.69,33.16,1.20,1.10,0,15.05978,0,0,1,0,0,0,0,0,0,0,0,0
8,1990,7.25,1,7.08,2.74,12.90,0,51.10,76.48,11.39,93.90,1.33,1.50,0,16.42923,0,0,1,0,0,0,0,0,0,0,0,0
9,1990,7.48,1,7.43,3.08,7.50,50,25.50,81.27,13.05,87.49,3.62,4.50,50,23.45614,0,0,1,0,0,0,0,0,0,0,0,0
10,1990,8.11,1,7.91,3.28,5.20,25,58.50,77.31,16.32,52.78,0.86,11.30,22,21.21536,0,0,1,0,0,0,0,0,0,0,0,0
11,1990,6.58,1,6.59,2.60,4.50,0,31.70,72.78,13.61,58.32,3.65,1.10,26,16.18244,0,0,1,0,0,0,0,0,0,0,0,0
12,1990,6.00,1,5.97,2.79,16,100,11,83.49,13.82,28.11,2.74,1.50,0,16.66549,0,0,1,0,0,0,0,0,0,0,0,0
13,1990,9.44,1,9.37,3.13,1.80,100,81.50,73.41,18.28,46.56,0.83,5.50,0,27.40883,0,0,1,0,0,0,0,0,0,0,0,0
14,1990,7.00,1,7.02,3.38,0.50,28,24.30,69.08,14.36,56.60,2.35,9,28,11.12842,0,0,1,0,0,0,0,0,0,0,0,0
15,1990,7.09,1,7.13,3.03,6.80,0,39.30,78.05,15.66,41.25,3.39,0,0,19.78288,0,0,1,0,0,0,0,0,0,0,0,0
1,1991,7.48,1,7.35,3.17,3.50,50,45.50,70.78,15.16,54.46,0.21,6.80,44,19.20252,0,0,0,1,0,0,0,0,0,0,0,0
2,1991,7.13,1,7.13,3.10,9.30,48,54.30,82.78,15.12,117.92,4.63,10,43,20.96014,0,0,0,1,0,0,0,0,0,0,0,0
3,1991,7.39,1,7.21,3.17,9.10,0,75.80,74.89,15.58,53.71,1.16,9.20,0,25.71326,0,0,0,1,0,0,0,0,0,0,0,0
4,1991,7.61,1,8.12,3.03,6.60,12,74.40,73.96,13.62,36.33,-0.19,6.90,6,24.85989,0,0,0,1,0,0,0,0,0,0,0,0
5,1991,7.58,1,7.57,3.13,9.30,81,10,79.52,14.23,36.79,1.24,0.40,0,22.53726,0,0,0,1,0,0,0,0,0,0,0,0
6,1991,8.21,1,8.20,3.11,5.60,0,36,73.34,14.59,44.78,0.27,5.30,75,19.19585,0,0,0,1,0,0,0,0,0,0,0,0
7,1991,6.92,1,6.69,2.66,7.70,0,32.40,69.90,14.13,33.49,1.26,1.10,0,14.2045,0,0,0,1,0,0,0,0,0,0,0,0
8,1991,6.47,1,7.25,2.75,14.70,0,51.20,77.50,11.44,94.21,2.84,1.50,0,17.37922,0,0,0,1,0,0,0,0,0,0,0,0
9,1991,7.59,1,7.48,3.10,7,50,25.60,81.31,12.93,85.82,1.86,4.50,50,23.69546,0,0,0,1,0,0,0,0,0,0,0,0
10,1991,7.98,1,8.11,3.31,5.50,100,58.10,78.89,16.28,50.26,-0.33,11.30,0,21.77487,0,0,0,1,0,0,0,0,0,0,0,0
11,1991,7.06,1,6.58,2.64,4.30,0,31.50,73.07,14.10,52.33,3.02,1.10,17,17.96732,0,0,0,1,0,0,0,0,0,0,0,0
12,1991,5.72,1,6.00,2.81,16.10,100,14.70,84.23,14.14,27.98,2.28,1.50,0,17.35479,0,0,0,1,0,0,0,0,0,0,0,0
13,1991,9.49,1,9.44,3.11,3.30,75,82.80,74.79,18.24,41.52,2.51,3.40,4,28.11246,0,0,0,1,0,0,0,0,0,0,0,0
14,1991,5.55,1,7.00,3.36,1.80,28,22.70,69.32,14.36,53.47,1.19,7.60,28,11.6635,0,0,0,1,0,0,0,0,0,0,0,0
15,1991,6.59,1,7.09,3.01,8.40,0,38.50,79.46,15.74,38.20,1.59,0,0,20.71197,0,0,0,1,0,0,0,0,0,0,0,0
1,1992,7.03,1,7.48,3.18,3.60,50,44.30,71.50,15.22,51.89,0.76,6.80,44,19.58508,0,0,0,0,1,0,0,0,0,0,0,0
2,1992,7.08,1,7.13,3.11,10.30,53,54.30,83.12,15.31,110.08,5.01,10,47,21.05916,0,0,0,0,1,0,0,0,0,0,0,0
3,1992,7.51,1,7.39,3.17,9,0,75.80,75.58,15.55,52.55,0.69,9.20,0,25.8098,0,0,0,0,1,0,0,0,0,0,0,0
4,1992,7.35,1,7.61,2.98,11.60,0,76.80,76.67,13.69,41.51,0.36,6.90,6,25.43654,0,0,0,0,1,0,0,0,0,0,0,0
5,1992,7.58,1,7.58,3.14,10.20,72,10.20,80.46,14.43,35.32,1.62,0.40,0,23.08875,0,0,0,0,1,0,0,0,0,0,0,0
6,1992,8.39,1,8.21,3.13,6.60,0,33.90,71.41,15.24,41.51,-0.10,5.30,75,19.76692,0,0,0,0,1,0,0,0,0,0,0,0
7,1992,6.22,1,6.92,2.65,8.70,0,32,70.10,14.58,32.79,1.15,1.10,0,13.73781,0,0,0,0,1,0,0,0,0,0,0,0
8,1992,6.46,1,6.47,2.78,15.10,0,51.30,78.12,11.44,94.72,2.69,1.50,0,17.75854,0,0,0,0,1,0,0,0,0,0,0,0
9,1992,7.79,1,7.59,3.11,6.70,50,25.60,82.32,12.99,82.35,1.85,4.50,50,24.32488,0,0,0,0,1,0,0,0,0,0,0,0
10,1992,8.03,1,7.98,3.34,5.90,100,58.10,79.36,16.24,48.03,-0.53,11.30,0,22.73909,0,0,0,0,1,0,0,0,0,0,0,0
11,1992,7.57,1,7.06,2.66,4.10,0,29,75.41,14.59,49.07,1.92,1.10,0,17.99771,0,0,0,0,1,0,0,0,0,0,0,0
12,1992,5.42,1,5.72,2.82,18.10,100,16.50,85.02,14.45,27.36,2.21,1.50,0,18.26226,0,0,0,0,1,0,0,0,0,0,0,0
13,1992,8.99,1,9.49,3.10,5.80,0,85,75.26,18.13,40.42,0.00,3.40,15,29.22507,0,0,0,0,1,0,0,0,0,0,0,0
14,1992,6.21,1,5.55,3.35,2.80,28,23,72.79,14.36,52.67,0.45,7.60,28,12.09147,0,0,0,0,1,0,0,0,0,0,0,0
15,1992,6.45,1,6.59,3.01,9.70,0,37.20,78.03,15.76,38.39,1.54,0,0,21.1499,0,0,0,0,1,0,0,0,0,0,0,0
1,1993,7.09,1,7.03,3.18,4.30,50,43.20,72.12,14.94,48.37,0.61,6.80,47,20.40769,0,0,0,0,0,1,0,0,0,0,0,0
2,1993,7.07,1,7.08,3.09,12,53,55,83.72,15.48,113.81,4.98,10,47,21.39441,0,0,0,0,0,1,0,0,0,0,0,0
3,1993,7.53,1,7.51,3.17,10.70,0,77.30,77.04,15.48,49.75,1.23,9.20,0,26.76412,0,0,0,0,0,1,0,0,0,0,0,0
4,1993,7.01,1,7.35,2.96,16.20,0,78.80,78.74,13.84,48.02,1.00,6.90,6,24.23119,0,0,0,0,0,1,0,0,0,0,0,0
5,1993,7.57,1,7.58,3.12,11.50,18,10.10,81.43,14.64,34.40,1.63,9.90,0,24.46933,0,0,0,0,0,1,0,0,0,0,0,0
6,1993,8.07,1,8.39,3.11,7.90,0,31.80,72.54,15.59,36.93,0.02,5.20,75,19.87486,0,0,0,0,0,1,0,0,0,0,0,0
7,1993,5.67,1,6.22,2.63,9.70,25,31.10,72.30,15.03,32.59,1.05,0.80,0,14.29832,0,0,0,0,0,1,0,0,0,0,0,0
8,1993,6.41,1,6.46,2.80,15.70,40,50,78.91,11.45,99.74,2.23,1.40,0,17.56172,0,0,0,0,0,1,0,0,0,0,0,0
9,1993,7.86,1,7.79,3.11,6.20,50,25.50,82.57,13.06,82.21,1.97,4.50,50,24.68508,0,0,0,0,0,1,0,0,0,0,0,0
10,1993,8.08,1,8.03,3.36,6,100,58,79.69,16.14,47.68,0.85,8,0,22.57579,0,0,0,0,0,1,0,0,0,0,0,0
11,1993,7.22,1,7.57,2.64,5.40,0,28.60,76.79,15.08,45.96,1.78,0.80,0,18.62208,0,0,0,0,0,1,0,0,0,0,0,0
12,1993,5.29,1,5.42,2.80,22.40,100,18,85.91,14.77,28.48,1.94,1.20,0,18.81555,0,0,0,0,0,1,0,0,0,0,0,0
13,1993,8.14,1,8.99,3.07,9.50,0,87.10,77.57,17.60,46.70,1.87,3.40,15,29.37437,0,0,0,0,0,1,0,0,0,0,0,0
14,1993,6.62,1,6.21,3.34,3.80,29,22.90,73.61,14.35,51.14,0.70,7.60,29,11.83358,0,0,0,0,0,1,0,0,0,0,0,0
15,1993,6.42,1,6.45,3.03,10.30,0,36.10,78.85,15.75,40.56,1.71,0,0,20.47773,0,0,0,0,0,1,0,0,0,0,0,0
1,1994,7.35,1,7.09,3.20,3.60,50,41.40,72.13,15.02,50.30,1.06,7.30,44,20.4964,0,0,0,0,0,0,1,0,0,0,0,0
2,1994,7.06,1,7.07,3.12,12.90,53,54.70,84.06,15.66,119.17,3.62,10,46,21.20027,0,0,0,0,0,0,1,0,0,0,0,0
3,1994,8.30,1,7.53,3.22,8,75,77.50,77.21,15.37,52.05,3.30,7.30,0,25.91875,0,0,0,0,0,0,1,0,0,0,0,0
4,1994,7.05,1,7.01,3.00,16.40,0,78,79.23,14.01,52.95,1.50,6.90,3,23.44294,0,0,0,0,0,0,1,0,0,0,0,0
5,1994,7.49,1,7.57,3.14,12.10,0,10,82.04,14.85,36.76,1.17,9.90,0,24.13957,0,0,0,0,0,0,1,0,0,0,0,0
6,1994,7.74,1,8.07,3.13,8.40,0,30.40,73.54,16.00,38.64,0.35,7.30,77,19.71766,0,0,0,0,0,0,1,0,0,0,0,0
7,1994,5.21,1,5.67,2.65,9.60,100,30.30,72.69,15.47,30.87,0.98,0,0,13.76928,0,0,0,0,0,0,1,0,0,0,0,0
8,1994,6.50,1,6.41,2.85,14.70,40,48.60,78.39,11.45,108.83,1.53,1.40,0,17.39045,0,0,0,0,0,0,1,0,0,0,0,0
9,1994,7.67,1,7.86,3.13,6.80,43,26.20,82.96,13.37,89.40,2.05,3.50,25,24.201,0,0,0,0,0,0,1,0,0,0,0,0
10,1994,8.06,1,8.08,3.41,5.40,100,57.80,79.47,16.02,50.10,2.21,8,0,22.19256,0,0,0,0,0,0,1,0,0,0,0,0
11,1994,6.77,1,7.22,2.65,6.80,0,27.30,77.17,15.57,49.78,1.40,0,0,18.68304,0,0,0,0,0,0,1,0,0,0,0,0
12,1994,5.48,1,5.29,2.82,23.90,100,17.60,86.34,15.09,32.83,1.83,1,0,18.21729,0,0,0,0,0,0,1,0,0,0,0,0
13,1994,8.17,1,8.14,3.10,9.80,25,87.40,79.55,17.52,56.86,2.94,5,14,28.31929,0,0,0,0,0,0,1,0,0,0,0,0
14,1994,6.94,1,6.62,3.34,3.70,29,23.30,73.93,14.35,51.46,1.37,7.60,29,11.7012,0,0,0,0,0,0,1,0,0,0,0,0
15,1994,6.39,1,6.42,3.07,9.60,0,34.20,79.87,15.73,42.12,1.03,0,0,19.99847,0,0,0,0,0,0,1,0,0,0,0,0
1,1995,7.41,1,7.35,3.22,3.70,50,41.10,72.66,14.91,52.72,0.81,4.80,44,20.44143,0,0,0,0,0,0,0,1,0,0,0,0
2,1995,7.08,1,7.06,3.14,12.90,53,55.70,84,15.80,124.06,3.86,8.40,47,21.38455,0,0,0,0,0,0,0,1,0,0,0,0
3,1995,8.80,1,8.30,3.24,7,75,77,76.78,15.23,53.73,2.30,7.30,0,25.77841,0,0,0,0,0,0,0,1,0,0,0,0
4,1995,7.08,1,7.05,3.03,15.20,37,79.20,78.65,14.10,53.93,0.80,6.80,0,22.82967,0,0,0,0,0,0,0,1,0,0,0,0
5,1995,7.49,1,7.49,3.15,11.40,0,9.80,82.20,14.91,38.02,1.53,9.90,0,23.87411,0,0,0,0,0,0,0,1,0,0,0,0
6,1995,7.72,1,7.74,3.14,8.10,0,29.20,74.26,15.22,40.16,0.49,7.30,83,19.80736,0,0,0,0,0,0,0,1,0,0,0,0
7,1995,6.13,1,5.21,2.66,10,100,29.60,72.90,15.92,31.43,0.90,0,0,15.32649,0,0,0,0,0,0,0,1,0,0,0,0
8,1995,6.69,1,6.50,2.94,12.20,47,47.10,77.95,11.26,115.92,2.18,1.40,0,16.44982,0,0,0,0,0,0,0,1,0,0,0,0
9,1995,7.46,1,7.67,3.15,7.10,36,25.70,82.98,13.18,93.63,2.94,3.50,0,24.02914,0,0,0,0,0,0,0,1,0,0,0,0
10,1995,7.99,1,8.06,3.44,4.90,100,57.30,79.18,15.86,50.66,1.62,8,0,21.56329,0,0,0,0,0,0,0,1,0,0,0,0
11,1995,6.91,1,6.77,2.69,7.10,19.50,25.40,77.54,16.06,51.65,0.64,0,0,18.59779,0,0,0,0,0,0,0,1,0,0,0,0
12,1995,5.62,1,5.48,2.85,22.70,100,16.30,86.46,15.41,36.18,1.08,1,0,18.06541,0,0,0,0,0,0,0,1,0,0,0,0
13,1995,7.92,1,8.17,3.14,9.20,100,86.60,80.32,17.31,58.62,6.02,5,0,27.19099,0,0,0,0,0,0,0,1,0,0,0,0
14,1995,7.05,1,6.94,3.34,3.30,29,22.80,73.69,14.35,51.40,1.32,6.50,29,11.68864,0,0,0,0,0,0,0,1,0,0,0,0
15,1995,6.26,1,6.39,3.10,8.60,0,32.90,79.98,15.46,44.52,1.91,0,0,19.61008,0,0,0,0,0,0,0,1,0,0,0,0
1,1996,7.56,1,7.41,3.24,4.10,50,40.10,73.39,15.22,54.76,1.94,5,44,20.29414,0,0,0,0,0,0,0,0,1,0,0,0
2,1996,7.11,1,7.08,3.15,12.60,53,55.90,84.24,16.12,128.02,5.21,8,47,21.66782,0,0,0,0,0,0,0,0,1,0,0,0
3,1996,8.92,1,8.80,3.26,6.90,76,77.40,77.30,15.17,52.86,0.42,7,0,25.88051,0,0,0,0,0,0,0,0,1,0,0,0
4,1996,7.41,1,7.08,3.06,14.40,56,78.80,78.42,14.35,56.83,0.88,7,0,23.24047,0,0,0,0,0,0,0,0,1,0,0,0
5,1996,7.38,1,7.49,3.16,12,0,9.80,82.31,15.27,38.61,1.41,10,0,24.18737,0,0,0,0,0,0,0,0,1,0,0,0
6,1996,7.80,1,7.72,3.15,8.90,0,27.80,75.37,15.62,41.28,0.27,7,83,19.94601,0,0,0,0,0,0,0,0,1,0,0,0
7,1996,5.74,1,6.13,2.69,10.30,100,28.90,73.03,16.26,32.12,0.85,0,0,14.52459,0,0,0,0,0,0,0,0,1,0,0,0
8,1996,6.74,1,6.69,3.01,11.90,47,45.40,78.37,11.44,112.95,3.58,3,0,15.75513,0,0,0,0,0,0,0,0,1,0,0,0
9,1996,8.02,1,7.46,3.18,6.50,36,25.20,82.71,13.35,97.11,4.03,4,0,23.12614,0,0,0,0,0,0,0,0,1,0,0,0
10,1996,7.78,1,7.99,3.49,4.80,100,56.30,78.88,15.84,53.55,2.00,8,0,20.90466,0,0,0,0,0,0,0,0,1,0,0,0
11,1996,7.12,1,6.91,2.72,7.20,78,24.80,77.35,16.08,53.38,1.52,0,0,18.9388,0,0,0,0,0,0,0,0,1,0,0,0
12,1996,5.66,1,5.62,2.87,22,25,16.10,86.25,15.69,37.46,1.11,1,0,17.94762,0,0,0,0,0,0,0,0,1,0,0,0
13,1996,7.74,1,7.92,3.15,10,100,85.10,79.60,17.45,56.10,2.03,5,0,27.78452,0,0,0,0,0,0,0,0,1,0,0,0
14,1996,6.66,1,7.05,3.34,3.70,29,22.90,73.44,14.52,52.91,1.45,7,29,11.84595,0,0,0,0,0,0,0,0,1,0,0,0
15,1996,6.23,1,6.26,3.12,8.20,0,31.70,79.60,15.75,45.84,2.30,0,0,19.15248,0,0,0,0,0,0,0,0,1,0,0,0
1,1997,7.73,1,7.56,3.26,4.20,46,38.90,74.44,15.30,61.01,1.28,5,46,19.67588,0,0,0,0,0,0,0,0,0,1,0,0
2,1997,7.08,1,7.11,3.19,12.40,53,56,84.53,16.34,137.39,4.90,8,47,21.18219,0,0,0,0,0,0,0,0,0,1,0,0
3,1997,8.93,1,8.92,3.28,6.10,79,75.60,77.26,15.12,55.72,1.65,7,0,25.48794,0,0,0,0,0,0,0,0,0,1,0,0
4,1997,7.58,1,7.41,3.12,12.50,56,79.40,78.23,14.49,59.62,1.74,7,0,22.26105,0,0,0,0,0,0,0,0,0,1,0,0
5,1997,7.33,1,7.38,3.18,12.10,50,9.80,82.67,15.45,41.76,1.64,8,0,24.209,0,0,0,0,0,0,0,0,0,1,0,0
6,1997,7.46,1,7.80,3.16,9.80,0,27,75.95,15.79,45.41,0.61,7,83,19.47371,0,0,0,0,0,0,0,0,0,1,0,0
7,1997,5.38,1,5.74,2.72,10.20,100,28.60,73.35,16.60,31.52,0.81,0,0,15.13138,0,0,0,0,0,0,0,0,0,1,0,0
8,1997,6.79,1,6.74,3.10,10.30,24,44.40,78.62,11.42,113.68,3.42,2,3,15.12814,0,0,0,0,0,0,0,0,0,1,0,0
9,1997,8.23,1,8.02,3.21,5.50,36,25.20,82.47,13.43,105.74,2.93,4,0,22.89909,0,0,0,0,0,0,0,0,0,1,0,0
10,1997,7.67,1,7.78,3.54,4,75,55.50,78.75,15.74,53.62,2.47,7,12,20.46972,0,0,0,0,0,0,0,0,0,1,0,0
11,1997,7.19,1,7.12,2.76,6.70,78,24.30,77.45,16.10,55.48,2.39,0,0,19.03365,0,0,0,0,0,0,0,0,0,1,0,0
