"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CODPUUS","194913","2.54","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195013","2.51","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195113","2.53","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195213","2.53","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195313","2.68","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195413","2.78","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195513","2.77","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195613","2.79","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195713","3.09","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195813","3.01","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","195913","2.9","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196013","2.88","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196113","2.89","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196213","2.9","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196313","2.89","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196413","2.88","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196513","2.86","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196613","2.88","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196713","2.92","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196813","2.94","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","196913","3.09","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197013","3.18","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197113","3.39","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197213","3.39","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197301","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197302","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197303","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197304","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197305","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197306","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197307","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197308","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197309","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197310","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197311","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197312","Not Available","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197313","3.89","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197401","6.95","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197402","6.87","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197403","6.77","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197404","6.77","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197405","6.87","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197406","6.85","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197407","6.8","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197408","6.71","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197409","6.7","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197410","6.97","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197411","6.97","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197412","7.09","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197413","6.87","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197501","7.61","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197502","7.47","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197503","7.57","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197504","7.55","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197505","7.52","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197506","7.49","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197507","7.75","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197508","7.73","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197509","7.75","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197510","7.83","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197511","7.8","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197512","7.93","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197513","7.67","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197601","8.63","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197602","7.91","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197603","7.78","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197604","7.86","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197605","7.89","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197606","8","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197607","8.04","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197608","8.03","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197609","8.39","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197610","8.46","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197611","8.61","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197612","8.62","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197613","8.19","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197701","8.5","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197702","8.56","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197703","8.45","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197704","8.41","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197705","8.49","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197706","8.44","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197707","8.47","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197708","8.45","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197709","8.43","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197710","8.72","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197711","8.69","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197712","8.81","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197713","8.57","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197801","8.71","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197802","8.86","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197803","8.8","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197804","8.82","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197805","8.81","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197806","9.05","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197807","8.96","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197808","9.05","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197809","9.15","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197810","9.17","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197811","9.2","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197812","9.47","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197813","9","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197901","9.46","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197902","9.69","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197903","9.83","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197904","10.33","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197905","10.71","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197906","11.7","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197907","13.39","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197908","14","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197909","14.57","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197910","15.06","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197911","15.52","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197912","17","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","197913","12.64","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","198001","17.86","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","198002","18.86","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
"CODPUUS","198003","19.33","1","Crude Oil Domestic First Purchase Price","Dollars per Barrel"
