"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAPRPPG","197301","20051","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197302","20335","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197303","20332","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197304","20241","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197305","21369","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197306","20454","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197307","22224","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197308","21537","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197309","22310","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197310","21019","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197311","18936","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197312","19154","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197313","20668","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197401","20420","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197402","20870","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197403","21401","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197404","22265","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197405","22231","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197406","22072","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197407","21554","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197408","20594","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197409","20977","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197410","20901","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197411","21406","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197412","20707","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197413","21282","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197501","19145","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197502","18322","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197503","18397","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197504","18167","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197505","18580","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197506","18715","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197507","19246","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197508","20361","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197509","21932","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197510","16746","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197511","18468","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197512","19118","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197513","18934","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197601","18710","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197602","19679","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197603","20719","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197604","19698","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197605","19519","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197606","20997","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197607","21309","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197608","21688","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197609","22348","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197610","23859","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197611","24506","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197612","25061","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197613","21514","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197701","19589","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197702","22835","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197703","23123","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197704","22411","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197705","20542","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197706","21220","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197707","20754","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197708","20816","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197709","21986","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197710","21289","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197711","22516","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197712","23764","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197713","21725","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197801","19202","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197802","20638","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197803","20317","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197804","20480","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197805","19593","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197806","19998","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197807","19945","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197808","20367","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197809","22302","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197810","22214","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197811","21830","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197812","20457","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197813","20606","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197901","18896","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197902","18894","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197903","20074","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197904","21150","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197905","21214","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197906","21331","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197907","22267","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197908","21936","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197909","21806","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197910","22042","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197911","21786","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197912","21241","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","197913","21066","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198001","20217","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198002","20619","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198003","19735","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198004","18937","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198005","18344","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198006","18618","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198007","18261","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198008","18031","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198009","17212","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198010","14327","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198011","15147","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198012","16196","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198013","17961","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198101","15829","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198102","16139","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198103","16522","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198104","15847","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198105","15844","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198106","15585","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198107","15746","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198108","15254","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198109","14239","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198110","14502","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
