Country,Concept,Partner Country,Unit,Data Source,Scale,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995
Australia,"Goods, Value of Imports",Angola,US Dollars,Direction of Trade Statistics (DOTS),Units,10000,0,0,0,0,3693.96399576421,0,0,31.08348134991,217.78900558577,58.65864716633
Australia,"Goods, Value of Imports",Benin,US Dollars,Direction of Trade Statistics (DOTS),Units,0,0,0,0,2071634.98587208,0,0,0,0,0,0
Australia,"Goods, Value of Imports",Botswana,US Dollars,Direction of Trade Statistics (DOTS),Units,50000,130000,0,0,32342.2101614835,20295.1477966397,38586.8920933222,31183.7638329652,0,1714.10619393657,497.59559584543
Australia,"Goods, Value of Imports",Burkina Faso,US Dollars,Direction of Trade Statistics (DOTS),Units,0,0,0,140000,0,0,1815.65155368108,0,15.65914316015,0,0
Australia,"Goods, Value of Imports",Burundi,US Dollars,Direction of Trade Statistics (DOTS),Units,140000,110000,110000,190000,10000,0,0,0,0,0,0
Australia,"Goods, Value of Imports",Cameroon,US Dollars,Direction of Trade Statistics (DOTS),Units,300000,260000,10000,10000,981972.884149778,1227644.44514449,387266.295649852,123660.755825039,133871.909048866,382619.297830977,300552.748299871
Australia,"Goods, Value of Imports",Central African Republic,US Dollars,Direction of Trade Statistics (DOTS),Units,20000,0,0,0,0,22792.845791822,0,124345.776474569,6975.20574883513,4365.11664318146,369.33271073755
Australia,"Goods, Value of Imports",Chad,US Dollars,Direction of Trade Statistics (DOTS),Units,0,0,0,0,0,0,4959.79617596185,0,0,0,0
Australia,"Goods, Value of Imports","Congo, Democratic Republic of",US Dollars,Direction of Trade Statistics (DOTS),Units,250000,150000,240000,320000,217885.620464667,506042.425438942,699665.111063377,200040.607256532,479805.343621492,444996.333519532,970684.583813599
Australia,"Goods, Value of Imports","Congo, Republic of",US Dollars,Direction of Trade Statistics (DOTS),Units,200000,0,40000,0,64503.9361750351,19086.6236782593,0,0,0,39774.8820484168,61666.9856321519
