Date,Province,Tau
26/10/00,Farah,619
07/07/02,Farah,443
23/09/03,Farah,244
24/05/04,Farah,4
28/05/04,Farah,16
13/06/04,Farah,5
18/06/04,Farah,1
19/06/04,Farah,6
25/06/04,Farah,39
03/08/04,Farah,46
18/09/04,Farah,20
08/10/04,Farah,13
21/10/04,Farah,94
23/01/05,Farah,14
06/02/05,Farah,7
13/02/05,Farah,34
19/03/05,Farah,116
13/07/05,Farah,22
04/08/05,Farah,1
05/08/05,Farah,30
04/09/05,Farah,7
11/09/05,Farah,28
09/10/05,Farah,28
06/11/05,Farah,
12/02/00,Ghazni,176
06/08/00,Ghazni,673
10/06/02,Ghazni,172
29/11/02,Ghazni,133
11/04/03,Ghazni,70
20/06/03,Ghazni,292
07/04/04,Ghazni,42
19/05/04,Ghazni,92
19/08/04,Ghazni,1
20/08/04,Ghazni,71
30/10/04,Ghazni,283
09/08/05,Ghazni,6
15/08/05,Ghazni,19
03/09/05,Ghazni,5
08/09/05,Ghazni,2
10/09/05,Ghazni,99
18/12/05,Ghazni,
28/03/99,Helmand,215
29/10/99,Helmand,198
14/05/00,Helmand,434
22/07/01,Helmand,245
24/03/02,Helmand,4
28/03/02,Helmand,52
19/05/02,Helmand,23
11/06/02,Helmand,2
13/06/02,Helmand,13
26/06/02,Helmand,1
27/06/02,Helmand,3
30/06/02,Helmand,4
04/07/02,Helmand,1
05/07/02,Helmand,26
31/07/02,Helmand,5
05/08/02,Helmand,14
19/08/02,Helmand,7
26/08/02,Helmand,5
31/08/02,Helmand,5
05/09/02,Helmand,42
17/10/02,Helmand,55
11/12/02,Helmand,15
26/12/02,Helmand,17
12/01/03,Helmand,2
14/01/03,Helmand,37
20/02/03,Helmand,10
02/03/03,Helmand,3
05/03/03,Helmand,2
07/03/03,Helmand,36
12/04/03,Helmand,7
19/04/03,Helmand,13
02/05/03,Helmand,5
07/05/03,Helmand,18
25/05/03,Helmand,2
27/05/03,Helmand,2
29/05/03,Helmand,7
05/06/03,Helmand,3
08/06/03,Helmand,14
22/06/03,Helmand,1
23/06/03,Helmand,6
29/06/03,Helmand,1
30/06/03,Helmand,11
11/07/03,Helmand,13
24/07/03,Helmand,1
25/07/03,Helmand,1
26/07/03,Helmand,14
09/08/03,Helmand,1
10/08/03,Helmand,25
04/09/03,Helmand,3
07/09/03,Helmand,1
08/09/03,Helmand,8
16/09/03,Helmand,8
24/09/03,Helmand,1
25/09/03,Helmand,20
15/10/03,Helmand,13
28/10/03,Helmand,16
13/11/03,Helmand,15
28/11/03,Helmand,5
03/12/03,Helmand,4
07/12/03,Helmand,1
08/12/03,Helmand,31
08/01/04,Helmand,11
19/01/04,Helmand,16
04/02/04,Helmand,12
16/02/04,Helmand,3
19/02/04,Helmand,26
16/03/04,Helmand,9
25/03/04,Helmand,4
29/03/04,Helmand,1
30/03/04,Helmand,21
20/04/04,Helmand,11
01/05/04,Helmand,17
18/05/04,Helmand,6
24/05/04,Helmand,14
07/06/04,Helmand,4
11/06/04,Helmand,5
16/06/04,Helmand,3
19/06/04,Helmand,4
23/06/04,Helmand,4
27/06/04,Helmand,15
12/07/04,Helmand,8
20/07/04,Helmand,1
21/07/04,Helmand,2
23/07/04,Helmand,1
24/07/04,Helmand,3
27/07/04,Helmand,1
28/07/04,Helmand,16
13/08/04,Helmand,4
17/08/04,Helmand,7
24/08/04,Helmand,10
03/09/04,Helmand,6
09/09/04,Helmand,2
11/09/04,Helmand,1
12/09/04,Helmand,16
28/09/04,Helmand,16
14/10/04,Helmand,7
21/10/04,Helmand,5
26/10/04,Helmand,8
03/11/04,Helmand,8
11/11/04,Helmand,3
14/11/04,Helmand,9
23/11/04,Helmand,3
26/11/04,Helmand,7
03/12/04,Helmand,8
11/12/04,Helmand,3
14/12/04,Helmand,2
16/12/04,Helmand,2
18/12/04,Helmand,2
20/12/04,Helmand,3
23/12/04,Helmand,7
30/12/04,Helmand,1
31/12/04,Helmand,5
05/01/05,Helmand,5
10/01/05,Helmand,4
14/01/05,Helmand,2
16/01/05,Helmand,10
26/01/05,Helmand,3
29/01/05,Helmand,9
07/02/05,Helmand,6
13/02/05,Helmand,2
15/02/05,Helmand,9
24/02/05,Helmand,17
13/03/05,Helmand,1
14/03/05,Helmand,7
21/03/05,Helmand,13
03/04/05,Helmand,4
07/04/05,Helmand,20
27/04/05,Helmand,9
06/05/05,Helmand,5
11/05/05,Helmand,2
13/05/05,Helmand,8
21/05/05,Helmand,1
22/05/05,Helmand,4
26/05/05,Helmand,1
27/05/05,Helmand,2
29/05/05,Helmand,3
01/06/05,Helmand,4
05/06/05,Helmand,6
11/06/05,Helmand,3
14/06/05,Helmand,2
16/06/05,Helmand,2
18/06/05,Helmand,12
30/06/05,Helmand,1
01/07/05,Helmand,2
03/07/05,Helmand,1
04/07/05,Helmand,2
06/07/05,Helmand,1
07/07/05,Helmand,1
08/07/05,Helmand,1
09/07/05,Helmand,1
10/07/05,Helmand,2
12/07/05,Helmand,3
15/07/05,Helmand,2
17/07/05,Helmand,1
18/07/05,Helmand,1
19/07/05,Helmand,2
21/07/05,Helmand,1
22/07/05,Helmand,2
24/07/05,Helmand,2
26/07/05,Helmand,3
29/07/05,Helmand,5
03/08/05,Helmand,2
05/08/05,Helmand,1
06/08/05,Helmand,1
07/08/05,Helmand,1
08/08/05,Helmand,1
09/08/05,Helmand,3
12/08/05,Helmand,1
13/08/05,Helmand,1
14/08/05,Helmand,1
15/08/05,Helmand,1
16/08/05,Helmand,1
17/08/05,Helmand,2
19/08/05,Helmand,2
21/08/05,Helmand,1
22/08/05,Helmand,2
24/08/05,Helmand,1
25/08/05,Helmand,3
28/08/05,Helmand,2
30/08/05,Helmand,2
01/09/05,Helmand,1
02/09/05,Helmand,7
09/09/05,Helmand,3
12/09/05,Helmand,1
13/09/05,Helmand,2
15/09/05,Helmand,3
18/09/05,Helmand,2
20/09/05,Helmand,5
25/09/05,Helmand,1
26/09/05,Helmand,4
30/09/05,Helmand,3
03/10/05,Helmand,1
04/10/05,Helmand,3
07/10/05,Helmand,1
08/10/05,Helmand,1
09/10/05,Helmand,10
19/10/05,Helmand,2
21/10/05,Helmand,1
22/10/05,Helmand,4
26/10/05,Helmand,4
30/10/05,Helmand,3
02/11/05,Helmand,2
04/11/05,Helmand,2
06/11/05,Helmand,1
07/11/05,Helmand,2
09/11/05,Helmand,3
12/11/05,Helmand,2
14/11/05,Helmand,3
17/11/05,Helmand,4
21/11/05,Helmand,3
24/11/05,Helmand,5
29/11/05,Helmand,1
30/11/05,Helmand,6
06/12/05,Helmand,1
07/12/05,Helmand,7
14/12/05,Helmand,4
18/12/05,Helmand,1
19/12/05,Helmand,1
20/12/05,Helmand,1
21/12/05,Helmand,6
27/12/05,Helmand,3
30/12/05,Helmand,3
02/01/06,Helmand,5
07/01/06,Helmand,1
08/01/06,Helmand,1
09/01/06,Helmand,1
10/01/06,Helmand,4
14/01/06,Helmand,7
21/01/06,Helmand,1
22/01/06,Helmand,1
23/01/06,Helmand,2
25/01/06,Helmand,6
31/01/06,Helmand,6
06/02/06,Helmand,1
07/02/06,Helmand,3
10/02/06,Helmand,2
12/02/06,Helmand,1
13/02/06,Helmand,1
14/02/06,Helmand,1
15/02/06,Helmand,1
16/02/06,Helmand,1
17/02/06,Helmand,1
18/02/06,Helmand,1
19/02/06,Helmand,1
20/02/06,Helmand,4
24/02/06,Helmand,1
25/02/06,Helmand,3
28/02/06,Helmand,1
01/03/06,Helmand,2
03/03/06,Helmand,1
04/03/06,Helmand,1
05/03/06,Helmand,1
06/03/06,Helmand,4
10/03/06,Helmand,1
11/03/06,Helmand,3
14/03/06,Helmand,1
15/03/06,Helmand,1
16/03/06,Helmand,7
23/03/06,Helmand,2
25/03/06,Helmand,1
26/03/06,Helmand,5
31/03/06,Helmand,1
01/04/06,Helmand,2
03/04/06,Helmand,3
06/04/06,Helmand,2
08/04/06,Helmand,2
10/04/06,Helmand,17
27/04/06,Helmand,4
01/05/06,Helmand,1
02/05/06,Helmand,2
04/05/06,Helmand,1
05/05/06,Helmand,1
06/05/06,Helmand,1
07/05/06,Helmand,1
08/05/06,Helmand,1
09/05/06,Helmand,1
10/05/06,Helmand,1
11/05/06,Helmand,
28/05/99,Kabul,9
06/06/99,Kabul,117
01/10/99,Kabul,117
26/01/00,Kabul,1
27/01/00,Kabul,116
22/05/00,Kabul,540
13/11/01,Kabul,4
17/11/01,Kabul,168
04/05/02,Kabul,10
14/05/02,Kabul,112
03/09/02,Kabul,4
07/09/02,Kabul,18
25/09/02,Kabul,4
29/09/02,Kabul,54
22/11/02,Kabul,164
05/05/03,Kabul,101
14/08/03,Kabul,37
20/09/03,Kabul,64
23/11/03,Kabul,81
12/02/04,Kabul,120
11/06/04,Kabul,52
02/08/04,Kabul,8
10/08/04,Kabul,7
17/08/04,Kabul,13
30/08/04,Kabul,9
08/09/04,Kabul,74
21/11/04,Kabul,56
16/01/05,Kabul,22
07/02/05,Kabul,21
28/02/05,Kabul,13
13/03/05,Kabul,20
02/04/05,Kabul,47
19/05/05,Kabul,50
08/07/05,Kabul,20
28/07/05,Kabul,20
17/08/05,Kabul,30
16/09/05,Kabul,214
18/04/06,Kabul,
26/03/98,Kandahar,19
14/04/98,Kandahar,575
10/11/99,Kandahar,3
13/11/99,Kandahar,175
06/05/00,Kandahar,352
23/04/01,Kandahar,27
20/05/01,Kandahar,89
17/08/01,Kandahar,30
16/09/01,Kandahar,9
25/09/01,Kandahar,4
29/09/01,Kandahar,7
06/10/01,Kandahar,46
21/11/01,Kandahar,23
14/12/01,Kandahar,79
03/03/02,Kandahar,49
21/04/02,Kandahar,59
19/06/02,Kandahar,4
23/06/02,Kandahar,15
08/07/02,Kandahar,13
21/07/02,Kandahar,12
02/08/02,Kandahar,8
10/08/02,Kandahar,11
21/08/02,Kandahar,12
