"","iso","year","month","country","monthID","quarter","rebellion","insurgency","crisisdomestic","crisisintl","violence","cow","democ","autoc","xrreg","xrcomp","xropen","xconst","parreg","parcomp","anoc","nminorities","gdppc","pop","rebellion.l3","insurgency.l3","crisisdomestic.l3","crisisintl.l3","violence.l3","cow.l3","democ.l3","autoc.l3","xrreg.l3","xrcomp.l3","xropen.l3","xconst.l3","parreg.l3","parcomp.l3","anoc.l3","nminorities.l3","gdppc.l3","pop.l3","antiGovtviolence","antiGovtviolence.l3","USAcoop","USAconf","USAcoop.l3","USAconf.l3","COW","lastelection","nextelection","proximitytoelection","rebellion.onset","insurgency.onset","crisisdomestic.onset","crisisintl.onset","violence.onset","mil.conf","mil.conf.l3","gdpgrowth","gdpgrowth.l3","recentonsets.rebellion","recentonsets.insurgency","recentonsets.crisisdomestic","recentonsets.crisisintl","recentonsets.violence","W.centdist.std.rebellion.l3","W.knn4.std.rebellion.l3","W.bl.std.rebellion.l3","W.icews.rebellion.l3","W.tradegdp.rebellion.l3","W.ppl.rebellion.l3","W.refugees.rebellion.l3","W.events.rebellion.l3","W.centdist.std.insurgency.l3","W.knn4.std.insurgency.l3","W.bl.std.insurgency.l3","W.icews.insurgency.l3","W.tradegdp.insurgency.l3","W.ppl.insurgency.l3","W.refugees.insurgency.l3","W.events.insurgency.l3","W.centdist.std.crisisdomestic.l3","W.knn4.std.crisisdomestic.l3","W.bl.std.crisisdomestic.l3","W.icews.crisisdomestic.l3","W.tradegdp.crisisdomestic.l3","W.ppl.crisisdomestic.l3","W.refugees.crisisdomestic.l3","W.events.crisisdomestic.l3","W.centdist.std.crisisintl.l3","W.knn4.std.crisisintl.l3","W.bl.std.crisisintl.l3","W.icews.crisisintl.l3","W.tradegdp.crisisintl.l3","W.ppl.crisisintl.l3","W.refugees.crisisintl.l3","W.events.crisisintl.l3","W.centdist.std.violence.l3","W.knn4.std.violence.l3","W.bl.std.violence.l3","W.icews.violence.l3","W.tradegdp.violence.l3","W.ppl.violence.l3","W.refugees.violence.l3","W.events.violence.l3","W.knn4.std.gdpgrowth.l3"
"1","IND",1997,1,"India","Jan97",1,0,0,0,1,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,1,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,7,2,7,2,"IND",263,397,263,0,0,0,0,0,1,1,4.38206828946303,4.38206828946303,0,0,0,0,0,0.0886785060569969,0.25,0.0341595542448118,0.166666666666667,0.00570468584486879,0.0676275538538937,0,36,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,1,0.0938742182446723,0.25,0.130595718282691,0.166666666666667,0.00218305729147345,0.052540623182819,0,44,0.0822012982134085,0,0.137783922465455,0.166666666666667,0.00487347647883608,0.0256362175194213,0,16,0,0,0,0,0,0,0,0,2.73957105136357
"2","IND",1997,2,"India","Feb97",1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,2,5,2,5,"IND",294,366,294,0,0,0,0,0,0,0,4.38206828946303,4.38206828946303,0,0,0,0,0,0.124736065139128,0.25,0.137783922465455,0.333333333333334,0.00206697027045321,0.0494279759299066,0,8,0,0,0,0,0,0,0,0,0.0938742182446723,0.25,0.130595718282691,0.166666666666667,0.00218305729147345,0.052540623182819,0,14,0.123324623257386,0,0.180387984702504,0.166666666666667,0.0153128009940345,0.361307520924124,0,42,0.144567316490229,0,0.284012352923147,0.333333333333334,0.0131555880815468,0.285995700835658,0.000378429517502365,29,2.73957105136357
"3","IND",1997,3,"India","Mar97",1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,4,2,4,2,"IND",322,338,322,0,0,0,0,0,2,2,4.38206828946303,4.38206828946303,0,0,0,0,0,0.13887378821723,0.25,0.154863699587861,0.333333333333334,0.00208218042865928,0.0494279759299066,0,10,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0.130690607624833,0.25,0.147675495405097,0.166666666666667,0.00219884749808569,0.0550136227319948,0,25,0.083439092799574,0,0.163308207580098,0.166666666666667,0.0121409931894143,0.184393641418332,0,58,0,0,0,0,0,0,0,0,2.73957105136357
"4","IND",1997,4,"India","Apr97",2,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,1,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,1,0,0,0,7,2,"IND",353,307,307,0,0,0,0,0,1,1,4.38206828946303,4.38206828946303,0,0,0,0,0,0.147807934704767,0.25,0.154863699587861,0.333333333333334,0.00632256629707904,0.0713458736516108,0,7,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0,0,0,0,0,0,0,0,0.0828808561508724,0,0.163308207580098,0.166666666666667,0.00954543125140628,0.171171424277864,0,13,0,0,0,0,0,0,0,0,2.73957105136357
"5","IND",1997,5,"India","May97",2,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,1,0,2,2,2,5,"IND",383,277,277,0,0,0,0,0,1,0,4.38206828946303,4.38206828946303,0,0,0,0,0,0.0898602353199902,0.25,0.0341595542448118,0.166666666666667,0.00475049332676477,0.068618713778887,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473590193239497,0,0.0341595542448118,0,0.007379511466891,0.0296230717463885,0,1,0,0,0,0,0,0,0,0,2.73957105136357
"6","IND",1997,6,"India","Jun97",2,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,1,0,3,5,4,2,"IND",414,246,246,0,0,0,0,0,4,2,4.38206828946303,4.38206828946303,0,0,0,0,0,0.147807934704767,0.25,0.154863699587861,0.333333333333334,0.00632256629707904,0.0713458736516108,0,10,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,1,0,0,0,0,0,0,0,0,0.0467672317455687,0,0.0341595542448118,0,0.00496143759713967,0.0316047382279341,0,2,0.0361136244053037,0,0.129148653335286,0.166666666666667,0.00458399365426661,0.13956668604993,0,16,2.73957105136357
"7","IND",1997,7,"India","Jul97",3,1,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,2,1,5,1,0,0,"IND",444,216,216,1,0,0,0,0,1,1,4.38206828946303,4.38206828946303,0,0,0,0,0,0.0886785060569969,0.25,0.0341595542448118,0.166666666666667,0.00570468584486879,0.0676275538538937,0,8,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,1,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,1,0.0677919149684981,0,0.0341595542448118,0,0.00261681748960273,0.175060926607123,0,4,0,0,0,0,0,0,0,0,2.73957105136357
"8","IND",1997,8,"India","Aug97",3,1,0,0,1,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,2,1,10,2,2,2,"IND",475,185,185,0,0,0,1,0,4,1,4.38206828946303,4.38206828946303,1,0,0,0,0,0.0656066364913584,0.25,0.0170797771224059,0.166666666666667,0.00144908981824296,0.0457096561321895,0,4,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0.130690607624833,0.25,0.147675495405097,0.166666666666667,0.00219884749808569,0.0550136227319948,0,15,0.103984811734367,0,0.0512393313672177,0,0.00618236215232696,0.189764983371773,0,5,0,0,0,0,0,0,0,0,2.73957105136357
"9","IND",1997,9,"India","Sep97",3,1,0,0,0,1,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,0,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,1,1,6,1,3,5,"IND",506,154,154,0,0,0,0,1,2,4,4.38206828946303,4.38206828946303,1,0,0,1,0,0.0656066364913584,0.25,0.0170797771224059,0.166666666666667,0.00144908981824296,0.0457096561321895,0,6,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0.0361136244053037,0,0.129148653335286,0.166666666666667,0.00458399365426661,0.13956668604993,0,23,0,0,0,0,0,0,0,0,2.73957105136357
"10","IND",1997,10,"India","Oct97",4,0,0,0,1,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,1,0,0,0,0,"IND",9,0,3,3,4,7,2,4,0,10,401.7892451,965428183.1,3,2,4,0,5,1,"IND",536,124,124,0,0,0,1,0,2,1,4.38206828946303,4.38206828946303,1,0,0,1,1,0.0656066364913584,0.25,0.0170797771224059,0.166666666666667,0.00144908981824296,0.0457096561321895,0,3,0.036816389380161,0,0.0170797771224059,0,1.57902066122365e-05,0.00247299954917578,0,0,0.130690607624833,0.25,0.147675495405097,0.166666666666667,0.00219884749808569,0.0550136227319948,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73957105136357
