ID Nuevo,Año,Mes,Día,lat,long,Geocode,Departamento INEI,Provincia INEI,Distrito INEI,Centro poblado INEI,Categoría centro poblado INEI,Casco Urbano,Zona Rural,Tipo de Centro Poblado no INEI,Nombre Centro Poblado no INEI,Precedencia,Iniciativa 1,Iniciativa 2,Iniciativa 3,FF.MM.   - 1-,Policía    -2-,CAD        -3-,Rondas Campesinas         -10-,PCP-SL     -15-,PCP-BR     -16-,MRTA      -17-,Otros Guerrilleros no Id.               -18-,Otros Paramilitares no Id.                          -19-,Grupos estatales no Id.                       -20-,No identificado            -21-,Otros         -22-,Milicias     -23-,Grupo 1 Método 1,Grupo 1 Método 2,Grupo 2 Método 1,Grupo 2 Método 2,Grupo 3 Método 1,Grupo 3 Método 2,Grupo 4 Método 1,Grupo 4 Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 1,Método 1,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 2,Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 3,Método 3,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 4,Método 4,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 5,Método 5,No está descrito el método del ataque  ,Código Grupo,Muertos,Heridos,detenido,Retenidos,Código Grupo,Muertos,Heridos,detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Número testimonio,Fuente 1,Tomo,Página,Fecha (dd/mm/aa),Nota Magnética 1,Fuente(s) Primaria(s) 1,Notas,Dummie Revisión,Notas Revisión
00069,1980,,,,,PE,AYACUCHO,HUANCA SANCOS,SACSAMARCA,SACSAMARCA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,24,,,Acción ofensiva a Objetivos no estatales  Otros guerrilleros  ,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,rango de tiempo 1980 y 1983,201134,Comisión de la Verdad Informe Final,XIII,321,,,,,
00071,1980,,,,,PE,AYACUCHO,HUANTA,SANTILLANA,PUTIS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Incursión,,2,,,Registro y control,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,DESAPARECIDO,201354,Comisión de la Verdad Informe Final,XIII,322,,,,,
00072,1980,,,,,PE,AYACUCHO,HUANTA,SIVIA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Grupos de civiles  ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,,202961,Comisión de la Verdad Informe Final,XIII,322,,,,,
00073,1980,5,,,,PE,AYACUCHO,HUANTA,LLOCHEGUA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Grupos de civiles  ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,,309005,Comisión de la Verdad Informe Final,XIII,322,,,,,
00774,1980,,,,,PE,PUNO,MELGAR,ANTAUTA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,ENTRE 1980 Y 1992,520063,Comisión de la Verdad Informe Final,XVI,81,,,,,
00807,1980,,,,,PE,PUNO,SANDIA,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,ENTRE 1980-200,750062,Comisión de la Verdad Informe Final,XVI,91,,,,,
00808,1980,6,30,,,PE,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,MIGUEL PATA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,21,,,Acción ofensiva a Objetivos civiles Civiles   ,Armamentos Armas blancas  ,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,,310062,Comisión de la Verdad Informe Final,XVI,3,,,,,
00809,1980,12,11,,,PE,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,,200175,Comisión de la Verdad Informe Final,XVI,3,,,,,
01046,1980,7,,,,PE,HUANCAVELICA,ACOBAMBA,ANTA,MANYACC,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Incendio (conflagración) a Objetivos civiles Instalaciones civiles ,,15,,,Robo,Semovientes   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313031,Comisión de la Verdad Informe Final,XVI,72,,,,,
01078,1980,,,,,PE,HUANCAVELICA,ANGARAES,JULCAMARCA,ANDABAMBA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,,"201545, 203305",Comisión de la Verdad Informe Final,XVI,83,,,,,
