YYYY, C_win, C_sum,  T_win,   T_sum,  T_year 
751,      ,      ,       ,        ,      
752,      ,      ,       ,        ,      
753,      ,      ,       ,        ,      
754,      ,      ,       ,        ,      
755,      ,      ,       ,        ,      
756,      ,      ,       ,        ,      
757,      ,      ,       ,        ,      
758,      ,      ,       ,        ,      
759,      ,      ,       ,        ,      
760,      ,      ,       ,        ,      
761,      ,      ,       ,        ,           
762,      ,      ,       ,        ,           
763,      ,      ,       ,        ,           
764,   III,      ,-19,        ,75
765,      ,      ,       ,        ,           
766,      ,      ,       ,        ,           
767,      ,      ,       ,        ,           
768,      ,      ,       ,        ,           
769,      ,      ,       ,        ,           
770,      ,      ,       ,        ,           
771,      ,      ,       ,        ,           
772,      ,   III,       ,177,99
773,      ,      ,       ,        ,           
774,      ,      ,       ,        ,           
775,      ,      ,       ,        ,           
776,      ,      ,       ,        ,           
777,      ,      ,       ,        ,           
778,      ,      ,       ,        ,           
779,      ,      ,       ,        ,           
780,      ,      ,       ,        ,           
781,      ,      ,       ,        ,           
782,      ,      ,       ,        ,           
783,      ,   III,       ,177,99
784,      ,      ,       ,        ,           
785,      ,      ,       ,        ,           
786,      ,      ,       ,        ,           
787,      ,      ,       ,        ,           
788,      ,      ,       ,        ,           
789,      ,      ,       ,        ,           
790,      ,      ,       ,        ,           
791,      ,      ,       ,        ,           
792,      ,      ,       ,        ,           
793,      ,   III,       ,177,99
794,      ,      ,       ,        ,           
795,      ,      ,       ,        ,           
796,      ,      ,       ,        ,           
797,      ,      ,       ,        ,           
798,      ,      ,       ,        ,           
799,      ,      ,       ,        ,           
800,      ,      ,       ,        ,           
801,     I,      ,49,        ,102
802,      ,      ,       ,        ,           
803,      ,      ,       ,        ,           
804,      ,      ,       ,        ,           
805,      ,      ,       ,        ,           
806,      ,      ,       ,        ,           
807,      ,      ,       ,        ,           
808,     I,      ,53,        ,104
809,      ,      ,       ,        ,           
810,      ,      ,       ,        ,           
811,   III,      ,-16,        ,76
812,      ,      ,       ,        ,           
813,      ,      ,       ,        ,           
814,      ,      ,       ,        ,           
815,   III,      ,-16,        ,76
816,      ,      ,       ,        ,           
817,      ,      ,       ,        ,           
818,      ,      ,       ,        ,           
819,      ,      ,       ,        ,           
820,      ,     I,       ,147,84
821,      ,      ,       ,        ,           
822,8,      ,-18,        ,75
823,      ,      ,       ,        ,           
824,7,      ,-2,        ,82
825,      ,      ,       ,        ,           
826,      ,      ,       ,        ,           
827,      ,      ,       ,        ,           
828,      ,      ,       ,        ,           
