Commodity,PALLFNF,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PRAWM,PMETA,PNRG,POILAPSP,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFISH,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAEEC,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,PWOOLC,PWOOLF,PZINC
1980M1,,,,,189.31,81.89,78.90,84.05,,72.09,2054.86,401.96,66.58,136.36,39.70,3167.16,168.67,162.56,591.59,2592.63,88.72,986.56,980.08,59.10,12.15,117.23,1111.13,84.39,146.08,105.51,,,,6584.80,35.64,40.00,38.00,37.00,2271.72,347.00,547.05,72.42,33.90,395.00,68.82,7.45,297.61,138.00,13.34,201.76,525.58,238.77,,17.30,19.66,566.93,225.18,16973.59,40.00,175.63,553.12,684.28,773.82
1980M2,,,,,190.39,83.05,75.72,88.35,,69.84,2131.01,372.19,66.58,134.55,40.26,3236.82,164.83,162.00,596.60,2916.71,97.21,1040.81,1000.38,48.70,12.15,122.01,1166.24,80.25,159.57,114.17,,,,6978.93,35.09,38.50,36.00,37.04,2256.48,350.00,555.32,65.53,32.55,399.00,75.31,7.60,308.29,131.23,12.68,198.26,518.75,241.36,,22.75,24.69,573.96,233.09,17090.21,38.00,172.70,568.15,722.57,868.62
1980M3,,,,,194.06,75.23,69.00,79.73,,70.98,1978.38,422.91,69.90,118.00,40.83,3091.10,184.38,169.89,561.51,2303.83,93.53,960.43,1009.40,39.40,12.15,119.32,1117.74,80.25,155.28,109.84,,,,6733.79,36.01,38.25,35.75,39.52,2188.11,338.00,518.13,65.00,31.83,415.00,66.35,7.40,304.92,131.23,12.79,186.10,486.78,227.08,,19.63,21.18,535.28,226.83,17460.59,35.00,163.51,552.75,695.96,740.75
1980M4,,,,,186.14,72.47,67.88,75.79,,70.40,1932.46,395.90,69.90,114.51,41.41,2910.10,180.81,162.90,541.45,2074.55,90.56,944.36,1015.04,38.10,12.15,132.72,970.03,87.50,152.79,108.26,,,,6233.37,35.09,38.15,35.00,39.50,2081.17,377.00,504.91,51.86,30.99,419.00,60.55,7.43,302.95,143.08,12.35,181.20,451.07,218.21,,21.25,22.67,486.06,221.81,17041.71,32.00,156.53,510.65,688.13,707.68
1980M5,,,,,185.07,69.59,65.88,72.27,,71.02,1775.80,444.97,68.24,110.50,41.99,2585.80,190.54,174.06,536.44,2076.75,88.40,1014.68,1035.34,33.80,12.15,142.07,793.66,87.50,162.74,109.84,,,,6000.77,35.72,38.50,35.60,39.50,2044.54,442.20,482.60,54.90,30.66,433.00,60.39,7.69,310.72,143.08,12.02,187.39,463.19,225.90,,30.94,31.89,502.76,229.61,17180.60,32.00,161.30,524.93,720.76,701.07
1980M6,,,,,179.38,68.86,67.81,69.61,,70.99,1668.96,342.41,64.93,113.89,42.58,2498.05,181.41,169.01,546.46,2006.20,84.14,972.49,1043.23,38.20,12.15,141.63,736.34,87.50,164.43,113.38,,,,6294.83,35.54,38.00,36.00,39.50,2053.29,480.00,458.63,62.47,31.28,442.00,61.87,8.02,312.03,143.08,11.46,190.06,485.02,232.63,,30.80,32.10,493.97,235.41,17211.47,31.50,157.63,532.95,737.26,676.82
1980M7,,,,,164.08,72.42,71.54,73.06,,68.82,1758.07,351.78,86.53,124.96,43.19,2464.77,155.67,147.94,594.59,2175.96,88.87,962.44,992.48,43.90,12.15,146.38,809.10,93.71,141.14,130.70,,,,6622.17,34.33,37.40,33.35,39.49,2073.16,415.00,450.37,84.68,34.34,442.00,61.06,8.32,293.60,153.24,11.46,222.68,585.99,273.72,,27.70,28.75,555.50,222.29,17090.21,31.50,168.65,540.84,736.90,712.09
1980M8,,,,,150.41,74.20,76.03,72.89,,64.91,1783.63,342.41,81.56,132.51,43.80,2312.21,135.99,132.05,590.58,2081.16,96.37,984.55,1060.15,53.30,12.15,140.96,850.98,82.84,134.52,143.30,,,,6584.51,31.88,33.60,32.30,38.01,2063.71,404.30,428.06,102.72,36.41,442.00,63.55,8.47,288.17,135.46,11.02,234.48,583.34,279.60,,31.77,33.14,577.47,226.04,17008.64,30.00,171.23,540.22,727.38,767.21
1980M9,,,,,146.06,70.73,71.31,70.31,,63.57,1655.07,352.89,78.24,129.15,44.42,2386.06,125.88,124.96,591.59,2059.11,101.12,1006.65,1353.38,43.00,12.15,132.49,881.85,73.00,159.13,140.94,,,,6655.36,31.91,33.40,32.25,36.02,2092.63,505.50,420.62,101.18,37.97,442.00,66.09,8.57,307.91,119.38,10.14,263.76,591.94,303.30,,34.74,35.03,561.65,209.75,17295.24,28.50,179.68,553.75,728.83,795.87
1980M10,,,,,143.91,70.11,70.98,69.48,,69.40,1626.15,325.32,88.18,129.83,45.05,2305.37,126.09,125.49,545.46,2045.89,98.69,1028.75,1917.29,49.10,12.15,134.36,870.82,67.82,105.06,140.54,,,,6691.95,37.25,37.90,36.80,36.00,2131.47,505.00,418.97,108.96,38.45,442.00,64.53,8.51,262.91,110.91,10.36,282.83,571.44,315.02,,40.55,41.70,554.62,203.66,16682.36,28.00,188.13,529.69,715.58,804.69
1980M11,,,,,136.32,69.68,74.29,66.35,,73.19,1503.91,379.35,103.22,133.25,45.68,2173.76,114.86,116.36,595.60,2010.61,98.03,1141.27,2706.77,54.30,12.15,124.20,813.50,71.97,107.98,146.84,,,,6452.67,40.97,40.85,39.75,35.98,2267.24,316.50,483.42,112.69,37.03,463.00,64.22,8.35,265.50,117.68,10.36,302.67,615.09,334.91,,37.81,39.28,631.09,223.57,15599.89,28.00,195.11,525.93,735.93,800.28
1980M12,,,,,136.60,67.14,72.35,63.37,,73.09,1430.66,369.98,94.88,124.77,46.33,2109.82,121.21,118.54,576.55,1878.34,99.16,1119.17,2622.18,50.10,12.15,120.62,742.96,73.00,109.44,145.27,,,,6390.91,39.05,40.15,39.35,36.99,2210.02,321.60,514.00,102.33,36.70,470.00,62.66,7.98,266.79,119.38,10.25,256.99,547.41,293.29,,28.79,30.29,632.85,216.25,14698.20,27.00,182.62,528.19,736.05,782.64
1981M1,,,,,139.20,65.61,69.45,62.84,,73.71,1430.83,387.62,92.52,121.73,46.98,2093.07,127.98,122.13,519.39,1876.13,99.51,1087.02,2255.64,44.80,12.15,133.28,703.27,70.41,112.35,151.96,,,,6403.77,38.69,40.30,39.25,38.00,2218.43,348.80,516.48,92.77,35.90,470.00,62.18,7.75,269.35,115.14,10.25,247.50,532.20,283.48,,27.78,29.57,606.48,217.38,14360.89,25.00,189.60,527.31,758.69,776.03
1981M2,,,,,135.44,63.81,65.82,62.35,,71.27,1452.38,435.60,94.17,116.75,47.65,2040.82,125.11,115.48,492.32,1803.38,95.85,1040.81,1691.73,40.70,12.15,134.12,690.05,67.82,109.12,143.30,,,,6370.75,36.75,38.70,37.10,38.00,2058.95,325.20,528.87,93.33,36.70,480.00,59.81,7.37,266.51,110.91,10.58,237.85,525.14,275.67,,24.09,26.07,571.32,222.84,13679.67,25.00,181.51,512.03,740.99,731.93
1981M3,,,,,136.86,63.80,65.76,62.38,,70.89,1442.95,459.31,89.20,113.30,48.32,2115.77,125.93,113.92,504.35,1816.61,91.72,1018.70,1578.95,42.40,12.15,124.75,727.52,69.38,106.78,142.12,,,,6292.43,36.44,38.35,36.85,38.00,2033.04,386.50,512.35,76.68,36.01,505.00,57.28,7.39,264.44,113.45,11.24,231.44,531.09,272.48,,21.81,23.81,571.32,221.72,13624.55,25.00,175.27,502.76,719.44,756.18
