index	year	battle_deaths	year
1	1823	1000	1823
4	1828	130000	1829
7	1846	19283	1847
10	1848	7527	1848
13	1848	6000	1848
16	1849	2600	1849
19	1851	1300	1852
22	1853	264200	1856
25	1856	2000	1857
28	1859	22500	1859
31	1859	10000	1860
34	1860	1000	1860
37	1860	1000	1861
40	1862	20000	1867
43	1863	1000	1863
46	1864	4481	1864
49	1864	310000	1870
52	1865	1000	1866
55	1866	44100	1866
58	1870	204313	1871
60	1876	4000	1876
61	1877	285000	1878
64	1879	13868	1883
65	1882	10079	1882
67	1884	12100	1885
70	1885	1000	1885
73	1894	15000	1895
76	1897	2000	1897
79	1898	3685	1898
82	1900	3003	1900
83	1900	4000	1900
85	1904	151831	1905
88	1906	1000	1906
91	1907	1000	1907
94	1909	10000	1910
97	1911	20000	1912
100	1912	82000	1913
103	1913	60500	1913
106	1914	8578031	1918
107	1918	11750	1920
108	1918	13246	1920
109	1919	100000	1920
112	1919	11000	1919
115	1919	50000	1922
116	1919	40000	1921
117	1920	1000	1920
118	1929	3200	1929
121	1931	60000	1933
124	1932	92661	1935
125	1934	2100	1934
127	1935	20000	1936
130	1937	1000000	1941
133	1938	1726	1938
136	1939	28000	1939
139	1939	16634907	1945
142	1939	151798	1940
145	1940	1400	1941
147	1947	3500	1949
148	1948	8000	1948
151	1950	910084	1953
153	1954	2370	1955
155	1956	3221	1956
156	1956	2426	1956
158	1957	1122	1958
159	1958	1800	1958
160	1962	1853	1962
163	1965	1021442	1975
166	1965	7061	1965
169	1967	19600	1967
170	1968	13866	1973
172	1969	5368	1970
175	1969	1900	1969
176	1970	6525	1971
178	1971	11223	1971
181	1973	14439	1973
184	1974	1500	1974
186	1975	2700	1976
187	1977	10500	1978
189	1977	8000	1979
190	1978	3000	1979
193	1979	21000	1979
199	1980	1250000	1988
202	1982	1001	1982
205	1982	1655	1982
207	1986	8000	1987
208	1987	4000	1987
211	1990	41466	1991
215	1992	5240	1992
216	1993	14000	1994
217	1995	1500	1995
219	1998	120000	2000
221	1999	5002	1999
223	1999	1172	1999
225	2001	4002	2001
227	2003	7173	2003
