conflictid,country,incomp,year,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,region
137,Afghanistan,2,1978,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1979,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1980,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1981,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1982,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1983,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1984,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1985,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1986,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1987,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1988,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1989,2,1,4,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1990,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1991,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1992,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1993,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1994,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1995,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1996,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1997,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1998,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,1999,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,2000,2,1,3,1978-04-27,1,1978-04-27,1,0,,,3
137,Afghanistan,2,2001,2,1,4,1978-04-27,1,1978-04-27,1,1,2001-12-07,1,3
137,Afghanistan,2,2003,1,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2004,1,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2005,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2006,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2007,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2008,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2009,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2010,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2011,2,1,4,1978-04-27,1,2003-06-04,1,0,,,3
137,Afghanistan,2,2012,2,1,4,1978-04-27,1,2003-06-04,1,,,,3
256,Afghanistan,2,1979,1,0,2,1979-12-27,1,1979-12-27,1,1,1979-12-28,1,3
16,Albania,1,1946,1,0,2,1946-10-22,1,1946-10-22,1,1,1946-12-31,5,1
49,Algeria,1,1954,1,0,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1955,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1956,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1957,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1958,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1959,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1960,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1961,2,1,1,1954-11-01,1,1954-11-29,2,0,,,4
49,Algeria,1,1962,1,1,1,1954-11-01,1,1954-11-29,2,1,1962-03-19,1,4
191,Algeria,2,1991,1,0,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1992,1,0,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1993,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1994,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1995,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1996,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1997,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1998,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,1999,2,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2000,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2001,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2002,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2003,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2004,1,1,4,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2005,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2006,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2007,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2008,1,1,3,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2009,1,1,4,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2010,1,1,4,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2011,1,1,4,1990-12-20,1,1991-12-09,1,0,,,4
191,Algeria,2,2012,1,1,3,1990-12-20,1,1991-12-09,1,,,,4
81,Algeria,1,1963,1,0,2,1963-10-08,1,1963-10-08,1,1,1963-11-04,1,4
66,Angola,1,1961,2,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1962,2,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1963,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1964,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1965,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1966,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1967,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1968,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1969,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1970,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1971,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1972,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1973,1,1,1,1961-02-04,1,1961-02-04,1,0,,,4
66,Angola,1,1974,1,1,1,1961-02-04,1,1961-02-04,1,1,1974-10-21,1,4
131,Angola,2,1975,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1976,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1977,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1978,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1979,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1980,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1981,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1982,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1983,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1984,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1985,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1986,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1987,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1988,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1989,2,1,4,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1990,2,1,3,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1991,1,1,3,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1992,2,1,3,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1993,2,1,3,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1994,2,1,3,1975-11-11,1,1975-11-11,1,0,,,4
131,Angola,2,1995,1,1,3,1975-11-11,1,1975-11-11,1,1,1995-12-31,5,4
131,Angola,2,1998,2,1,3,1975-11-11,2,1998-05-02,1,0,,,4
131,Angola,2,1999,2,1,4,1975-11-11,2,1998-05-02,1,0,,,4
131,Angola,2,2000,2,1,4,1975-11-11,2,1998-05-02,1,0,,,4
131,Angola,2,2001,2,1,4,1975-11-11,2,1998-05-02,1,0,,,4
131,Angola,2,2002,1,1,4,1975-11-11,2,1998-05-02,1,1,2002-04-04,1,4
192,Angola,1,1991,1,0,3,1991-05-18,1,1991-06-03,2,1,1991-12-31,5,4
192,Angola,1,1994,1,0,3,1991-05-18,1,1994-12-31,5,1,1994-12-31,5,4
192,Angola,1,1996,1,0,3,1991-05-18,1,1996-12-31,5,0,,,4
192,Angola,1,1997,1,0,3,1991-05-18,1,1996-12-31,5,0,,,4
192,Angola,1,1998,1,0,3,1991-05-18,1,1996-12-31,5,1,1998-12-31,5,4
192,Angola,1,2002,1,0,3,1991-05-18,1,2002-12-31,5,1,2002-12-31,5,4
192,Angola,1,2004,1,0,3,1991-05-18,1,2004-12-31,5,1,2004-12-31,5,4
192,Angola,1,2007,1,0,3,1991-05-18,1,2007-12-31,5,1,2007-12-31,5,4
192,Angola,1,2009,1,0,3,1991-05-18,1,2009-12-31,5,1,2009-12-31,5,4
50,Argentina,2,1955,1,0,3,1955-06-16,1,1955-06-16,1,1,1955-09-19,1,5
50,Argentina,2,1963,1,0,3,1955-06-16,1,1963-04-02,1,1,1963-09-22,1,5
50,Argentina,2,1974,1,0,3,1955-06-16,1,1974-08-11,2,0,,,5
50,Argentina,2,1975,1,0,3,1955-06-16,1,1974-08-11,2,0,,,5
50,Argentina,2,1976,1,1,3,1955-06-16,1,1974-08-11,2,0,,,5
50,Argentina,2,1977,1,1,3,1955-06-16,1,1974-08-11,2,1,1977-12-31,5,5
151,Argentina,1,1982,1,0,2,1982-04-02,1,1982-05-02,1,1,1982-06-14,1,1
226,Australia ,2,2003,2,1,2,2003-03-20,1,2003-03-22,2,1,2003-04-09,1,2
193,Azerbaijan,1,1991,1,0,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1992,2,1,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1993,2,1,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1994,2,1,3,1991-12-29,1,1991-12-30,1,1,1994-07-27,1,1
193,Azerbaijan,1,2005,1,1,4,1991-12-29,1,2005-10-09,1,1,2005-12-05,5,1
201,Azerbaijan,2,1993,1,0,3,1993-06-04,1,1993-06-06,1,1,1993-06-18,1,1
201,Azerbaijan,2,1995,1,0,3,1993-06-04,1,1995-03-17,1,1,1995-03-17,1,1
