Year,War,Temperature_Luterbacher,Precipitation_Luterbacher,Crowley 2000,Esper_2002,Mann_2003,Darrigo_2006,Moberg_2005,Temp_NH_sim,Temp_Eur_sim
1000,4,,,-0.02,1.209,-0.27,-0.36,-0.03,14.501,6.096
1001,5,,,-0.05,1.22,-0.28,-0.4,-0.11,14.536,6.316
1002,6,,,-0.07,1.025,-0.28,-0.42,-0.11,14.267,6.301
1003,5,,,-0.08,1.024,-0.28,-0.41,-0.07,14.147,5.557
1004,6,,,-0.07,1.118,-0.28,-0.38,-0.14,14.025,3.721
1005,6,,,-0.06,1.211,-0.26,-0.22,-0.25,14.129,5.639
1006,7,,,-0.05,1.157,-0.25,-0.15,-0.12,14.206,4.884
1007,7,,,-0.04,1.254,-0.24,-0.31,0.1,14.209,5.089
1008,6,,,-0.05,1.142,-0.24,-0.28,0.09,14.204,5.404
1009,6,,,0.01,0.961,-0.23,-0.41,-0.02,14.317,5.192
1010,6,,,0.01,1.067,-0.24,-0.55,-0.03,14.262,5.569
1011,6,,,0.02,1.042,-0.24,-0.61,0.01,14.163,5.563
1012,6,,,0.03,1.052,-0.24,-0.52,0,14.402,5.327
1013,6,,,0.04,1.077,-0.24,-0.49,-0.08,14.323,5.386
1014,6,,,0.04,1.14,-0.23,-0.19,-0.08,14.253,5.564
1015,5,,,0.05,1.127,-0.22,-0.32,0.09,13.906,5.307
1016,5,,,0.06,1.211,-0.19,-0.22,0.27,13.854,4.144
1017,3,,,0.05,1.224,-0.17,-0.16,0.3,13.846,5.235
1018,3,,,0.04,1.183,-0.16,-0.09,0.19,14.035,4.972
1019,3,,,0.04,1.249,-0.15,-0.36,0.11,14.006,4.691
1020,3,,,0.06,1.429,-0.15,-0.13,0.07,14.089,5.553
1021,3,,,0.08,1.256,-0.15,-0.35,-0.06,14.168,4.495
1022,3,,,0.09,1.237,-0.16,-0.33,-0.08,14.046,5.605
1023,3,,,0.11,1.152,-0.17,-0.26,0.08,14.007,4.893
1024,3,,,0.08,1.226,-0.17,-0.43,0.11,14.177,4.075
1025,3,,,0.07,1.015,-0.17,-0.64,-0.03,14.116,5.52
1026,2,,,0.07,1.208,-0.16,-0.46,-0.09,13.567,4.813
1027,2,,,0.06,1.447,-0.15,-0.28,0,13.628,4.999
1028,2,,,0.07,1.313,-0.14,-0.17,0.08,13.719,4.24
1029,2,,,0.07,1.199,-0.14,-0.34,0.09,13.822,5.527
