year,sex,age,population
1997,male,0,1892815.14
1998,male,0,1949134.224
1999,male,0,2007504.422
2000,male,0,2067923.072
2001,male,0,2130390.689
2002,male,0,2194909.334
2003,male,0,2261481.84
2004,male,0,2330111.986
2005,male,0,2400804.835
2006,male,0,2473565.969
2007,male,0,2548402
2008,male,0,2625305.199
2009,male,0,2704173.742
2010,male,0,2785011.405
2011,male,0,2867830.209
2012,male,0,2952794.912
1997,male,5,1609395.188
1998,male,5,1657281.356
1999,male,5,1706911.514
2000,male,5,1758283.401
2001,male,5,1811397.453
2002,male,5,1866255.423
2003,male,5,1922859.721
2004,male,5,1981213.557
2005,male,5,2041321.24
2006,male,5,2103187.514
2007,male,5,2166818
2008,male,5,2232206.128
2009,male,5,2299265.32
2010,male,5,2367998.786
2011,male,5,2438416.748
2012,male,5,2510659.294
1997,male,10,1362057.089
1998,male,10,1402583.925
1999,male,10,1444586.728
2000,male,10,1488063.583
2001,male,10,1533014.862
2002,male,10,1579442.047
2003,male,10,1627347.176
2004,male,10,1676732.969
2005,male,10,1727603.069
2006,male,10,1779961.494
2007,male,10,1833813
2008,male,10,1889152.027
2009,male,10,1945905.301
2010,male,10,2004075.542
2011,male,10,2063671.398
2012,male,10,2124811.429
1997,male,15,1211620.592
1998,male,15,1247671.319
1999,male,15,1285034.996
2000,male,15,1323709.919
2001,male,15,1363696.418
2002,male,15,1404995.813
2003,male,15,1447609.916
2004,male,15,1491541.146
2005,male,15,1536792.745
2006,male,15,1583368.286
2007,male,15,1631272
2008,male,15,1680498.941
2009,male,15,1730983.93
2010,male,15,1782729.383
2011,male,15,1835742.995
2012,male,15,1890130.231
1997,male,20,1036086.71
1998,male,20,1066914.578
1999,male,20,1098865.181
2000,male,20,1131937.064
2001,male,20,1166130.508
2002,male,20,1201446.64
2003,male,20,1237887.013
2004,male,20,1275453.693
2005,male,20,1314149.454
2006,male,20,1353977.35
2007,male,20,1394941
2008,male,20,1437036.174
2009,male,20,1480207.135
2010,male,20,1524455.951
2011,male,20,1569789.201
2012,male,20,1616297.07
1997,male,25,879504.7329
1998,male,25,905673.6387
1999,male,25,932795.6033
2000,male,25,960869.39
2001,male,25,989895.2383
2002,male,25,1019874.106
2003,male,25,1050807.308
2004,male,25,1082696.602
2005,male,25,1115544.34
2006,male,25,1149353.115
2007,male,25,1184126
2008,male,25,1219859.404
2009,male,25,1256506.013
2010,male,25,1294067.582
2011,male,25,1332549.697
2012,male,25,1372028.914
1997,male,30,733581.9022
1998,male,30,755408.9998
1999,male,30,778031.0297
2000,male,30,801446.9604
2001,male,30,825656.9916
2002,male,30,850661.9218
2003,male,30,876462.8491
2004,male,30,903061.2375
2005,male,30,930459.0504
2006,male,30,958658.4505
2007,male,30,987662
2008,male,30,1017466.704
2009,male,30,1048033.099
2010,male,30,1079362.649
2011,male,30,1111460.013
2012,male,30,1144389.044
1997,male,35,598719.3007
1998,male,35,616533.6778
1999,male,35,634996.8458
2000,male,35,654107.9629
2001,male,35,673867.1921
2002,male,35,694275.1851
2003,male,35,715332.8381
2004,male,35,737041.346
2005,male,35,759402.3112
2006,male,35,782417.4988
2007,male,35,806089
2008,male,35,830414.3706
2009,male,35,855361.4019
2010,male,35,880931.2889
2011,male,35,907127.8335
2012,male,35,934003.1509
1997,male,40,463731.9179
1998,male,40,477529.8617
1999,male,40,491830.3198
2000,male,40,506632.6404
2001,male,40,521936.9495
2002,male,40,537743.7519
2003,male,40,554053.742
2004,male,40,570867.845
2005,male,40,588187.3021
2006,male,40,606013.4806
2007,male,40,624348
2008,male,40,643188.9673
2009,male,40,662511.4355
2010,male,40,682316.3303
2011,male,40,702606.5963
2012,male,40,723422.5988
1997,male,45,367467.5926
1998,male,45,378401.2743
1999,male,45,389733.1554
2000,male,45,401462.7191
2001,male,45,413590.0656
2002,male,45,426115.5947
2003,male,45,439039.8566
2004,male,45,452363.5847
2005,male,45,466087.7623
2006,male,45,480213.4729
2007,male,45,494742
2008,male,45,509671.8434
2009,male,45,524983.2347
2010,male,45,540676.9075
2011,male,45,556755.1953
2012,male,45,573250.0839
1997,male,50,281466.5302
1998,male,50,289841.3244
1999,male,50,298521.1245
2000,male,50,307505.5347
2001,male,50,316794.6318
2002,male,50,326388.722
2003,male,50,336288.2266
2004,male,50,346493.7076
2005,male,50,357005.918
2006,male,50,367825.6878
2007,male,50,378954
2008,male,50,390389.7056
2009,male,50,402117.6628
2010,male,50,414138.4334
2011,male,50,426453.8047
2012,male,50,439088.2769
1997,male,55,217060.0621
1998,male,55,223518.4973
1999,male,55,230212.1456
2000,male,55,237140.7017
2001,male,55,244304.2247
2002,male,55,251702.951
2003,male,55,259337.2055
2004,male,55,267207.4212
2005,male,55,275314.1792
2006,male,55,283658.1195
2007,male,55,292240
2008,male,55,301058.9348
2009,male,55,310103.2468
2010,male,55,319373.3693
2011,male,55,328870.6806
2012,male,55,338614.0746
1997,male,60,162045.616
1998,male,60,166867.1437
1999,male,60,171864.2691
2000,male,60,177036.7644
2001,male,60,182384.6736
2002,male,60,187908.1732
2003,male,60,193607.5056
2004,male,60,199482.9944
2005,male,60,205535.0732
2006,male,60,211764.2197
2007,male,60,218171
2008,male,60,224754.7525
2009,male,60,231506.7597
2010,male,60,238427.3451
2011,male,60,245517.5378
2012,male,60,252791.4429
1997,male,65,114516.563
1998,male,65,117923.9047
1999,male,65,121455.3402
2000,male,65,125110.7083
2001,male,65,128890.0403
2002,male,65,132793.4608
2003,male,65,136821.1413
2004,male,65,140973.3103
2005,male,65,145250.2743
2006,male,65,149652.3708
2007,male,65,154180
2008,male,65,158832.6942
2009,male,65,163604.293
2010,male,65,168495.0249
2011,male,65,173505.6171
2012,male,65,178646.0376
1997,male,70,72992.61069
1998,male,70,75164.44295
1999,male,70,77415.37228
2000,male,70,79745.29605
2001,male,70,82154.23413
2002,male,70,84642.26598
2003,male,70,87209.50085
2004,male,70,89856.08443
2005,male,70,92582.21205
2006,male,70,95388.09893
2007,male,70,98274
2008,male,70,101239.6173
2009,male,70,104281.0241
2010,male,70,107398.366
2011,male,70,110592.1067
2012,male,70,113868.5997
1997,male,75,43689.05665
1998,male,75,44988.9869
1999,male,75,46336.25998
2000,male,75,47730.81445
2001,male,75,49172.66221
2002,male,75,50661.85082
2003,male,75,52198.44567
2004,male,75,53782.53396
2005,male,75,55414.2326
2006,male,75,57093.67042
2007,male,75,58821
2008,male,75,60596.04298
2009,male,75,62416.44908
2010,male,75,64282.30548
2011,male,75,66193.88962
2012,male,75,68155.00439
1997,male,80,52484.65361
1998,male,80,54046.28927
1999,male,80,55664.79894
2000,male,80,57340.10883
2001,male,80,59072.23321
2002,male,80,60861.22922
2003,male,80,62707.17543
2004,male,80,64610.17659
2005,male,80,66570.37314
2006,male,80,68587.91984
2007,male,80,70663
2008,male,80,72795.39935
2009,male,80,74982.29444
2010,male,80,77223.79001
2011,male,80,79520.21935
2012,male,80,81876.15096
1997,female,0,1799247.725
1998,female,0,1852782.791
1999,female,0,1908267.579
2000,female,0,1965699.557
2001,female,0,2025079.217
2002,female,0,2086408.515
2003,female,0,2149690.147
2004,female,0,2214927.702
2005,female,0,2282125.997
2006,female,0,2351290.334
2007,female,0,2422427
2008,female,0,2495528.648
2009,female,0,2570498.487
2010,female,0,2647340.107
2011,female,0,2726064.934
2012,female,0,2806829.582
1997,female,5,1526498.803
1998,female,5,1571918.46
1999,female,5,1618992.279
2000,female,5,1667718.114
2001,female,5,1718096.379
2002,female,5,1770128.737
2003,female,5,1823817.472
2004,female,5,1879165.632
2005,female,5,1936177.3
2006,female,5,1994856.979
2007,female,5,2055210
2008,female,5,2117230.13
2009,female,5,2180835.251
2010,female,5,2246028.409
2011,female,5,2312819.297
2012,female,5,2381340.79
1997,female,10,1316251.949
1998,female,10,1355415.892
1999,female,10,1396006.167
2000,female,10,1438020.923
2001,female,10,1481460.518
2002,female,10,1526326.385
2003,female,10,1572620.494
2004,female,10,1620345.473
2005,female,10,1669504.844
2006,female,10,1720102.487
2007,female,10,1772143
2008,female,10,1825621.01
2009,female,10,1880465.707
2010,female,10,1936679.718
2011,female,10,1994271.402
2012,female,10,2053355.331
1997,female,15,1170029.049
1998,female,15,1204842.256
1999,female,15,1240923.343
2000,female,15,1278270.664
2001,female,15,1316884.539
2002,female,15,1356766.241
2003,female,15,1397917.521
2004,female,15,1440340.715
2005,female,15,1484038.953
2006,female,15,1529015.686
2007,female,15,1575275
2008,female,15,1622812.118
2009,female,15,1671564.098
2010,female,15,1721533.275
2011,female,15,1772727.078
2012,female,15,1825247.353
1997,female,20,1003431.144
1998,female,20,1033287.373
1999,female,20,1064230.952
2000,female,20,1096260.469
2001,female,20,1129376.198
2002,female,20,1163579.23
2003,female,20,1198871.069
2004,female,20,1235253.716
2005,female,20,1272729.857
2006,female,20,1311302.45
2007,female,20,1350975
2008,female,20,1391743.411
2009,female,20,1433553.702
2010,female,20,1476407.876
2011,female,20,1520312.304
2012,female,20,1565354.33
1997,female,25,860489.6951
1998,female,25,886092.8248
1999,female,25,912628.408
2000,female,25,940095.2349
2001,female,25,968493.5395
2002,female,25,997824.2586
2003,female,25,1028088.68
2004,female,25,1059288.522
2005,female,25,1091426.086
2006,female,25,1124503.911
2007,female,25,1158525
2008,female,25,1193485.842
2009,female,25,1229340.145
2010,female,25,1266089.627
2011,female,25,1303739.752
2012,female,25,1342365.422
1997,female,30,728989.5043
1998,female,30,750679.9591
1999,female,30,773160.3697
2000,female,30,796429.7111
2001,female,30,820488.1816
2002,female,30,845336.575
2003,female,30,870975.9823
2004,female,30,897407.8585
2005,female,30,924634.1545
2006,female,30,952657.0196
2007,female,30,981479
2008,female,30,1011097.12
2009,female,30,1041472.162
2010,female,30,1072605.581
2011,female,30,1104502.008
2012,female,30,1137224.895
1997,female,35,606986.8053
1998,female,35,625047.1749
1999,female,35,643765.2943
2000,female,35,663140.3102
2001,female,35,683172.3876
2002,female,35,703862.1874
2003,female,35,725210.6181
2004,female,35,747218.8912
2005,female,35,769888.6311
2006,female,35,793221.6274
2007,female,35,817220
2008,female,35,841881.2711
2009,female,35,867172.7872
2010,female,35,893095.7598
2011,female,35,919654.0433
2012,female,35,946900.4725
1997,female,40,487701.8136
1998,female,40,502212.961
1999,female,40,517252.5973
2000,female,40,532820.0368
2001,female,40,548915.4122
2002,female,40,565539.2544
2003,female,40,582692.2935
2004,female,40,600375.5027
2005,female,40,618590.1874
2006,female,40,637337.7854
2007,female,40,656620
2008,female,40,676434.8404
2009,female,40,696756.07
2010,female,40,717584.6624
2011,female,40,738923.7144
2012,female,40,760815.6778
1997,female,45,393551.3432
1998,female,45,405261.1244
1999,female,45,417397.3702
2000,female,45,429959.5271
2001,female,45,442947.7023
2002,female,45,456362.3242
2003,female,45,470203.9819
2004,female,45,484473.4609
2005,female,45,499171.8143
2006,female,45,514300.2025
2007,female,45,529860
2008,female,45,545849.6002
2009,female,45,562247.8317
2010,female,45,579055.4799
2011,female,45,596275.0439
2012,female,45,613940.7801
1997,female,50,305524.07
1998,female,50,314614.6755
1999,female,50,324036.3565
2000,female,50,333788.6833
2001,female,50,343871.7391
2002,female,50,354285.8564
2003,female,50,365031.4927
2004,female,50,376109.2577
2005,female,50,387519.969
2006,female,50,399264.5274
2007,female,50,411344
2008,female,50,423757.1396
2009,female,50,436487.5101
2010,female,50,449535.7213
2011,female,50,462903.7135
2012,female,50,476618.0807
1997,female,55,237083.7489
1998,female,55,244137.9716
1999,female,55,251449.1057
2000,female,55,259016.8178
2001,female,55,266841.1724
2002,female,55,274922.4277
2003,female,55,283260.9384
2004,female,55,291857.1778
2005,female,55,300711.7804
2006,female,55,309825.4451
2007,female,55,319199
2008,female,55,328831.4773
2009,female,55,338710.1227
2010,female,55,348835.4096
2011,female,55,359208.8433
2012,female,55,369851.0608
1997,female,60,174987.9633
1998,female,60,180194.5794
1999,female,60,185590.818
2000,female,60,191176.4329
2001,female,60,196951.4719
2002,female,60,202916.1253
2003,female,60,209070.6551
2004,female,60,215415.4107
2005,female,60,221950.8601
2006,female,60,228677.5195
2007,female,60,235596
2008,female,60,242705.5872
2009,female,60,249996.8674
2010,female,60,257470.1899
2011,female,60,265126.666
2012,female,60,272981.5273
1997,female,65,127596.3184
1998,female,65,131392.8369
1999,female,65,135327.6228
2000,female,65,139400.4967
2001,female,65,143611.4932
2002,female,65,147960.7513
2003,female,65,152448.462
2004,female,65,157074.8799
2005,female,65,161840.3465
2006,female,65,166745.238
2007,female,65,171790
2008,female,65,176974.1117
2009,female,65,182290.7089
2010,female,65,187740.0462
2011,female,65,193322.934
2012,female,65,199050.4787
1997,female,70,86292.21879
1998,female,70,88859.76943
1999,female,70,91520.82902
2000,female,70,94275.27622
2001,female,70,97123.13452
2002,female,70,100064.4978
2003,female,70,103099.4954
2004,female,70,106228.2993
2005,female,70,109451.1406
2006,female,70,112768.2737
2007,female,70,116180
2008,female,70,119685.9672
2009,female,70,123281.533
2010,female,70,126966.8698
2011,female,70,130742.5256
2012,female,70,134616.0115
1997,female,75,55352.39554
1998,female,75,56999.35839
1999,female,75,58706.30282
2000,female,75,60473.15102
2001,female,75,62299.91803
2002,female,75,64186.66412
2003,female,75,66133.47214
2004,female,75,68140.45257
2005,female,75,70207.75353
2006,female,75,72335.53824
2007,female,75,74524
2008,female,75,76772.91286
2009,female,75,79079.29908
2010,female,75,81443.26913
2011,female,75,83865.17452
2012,female,75,86349.83335
1997,female,80,66994.19479
1998,female,80,68987.54935
1999,female,80,71053.50091
2000,female,80,73191.95528
2001,female,80,75402.93069
2002,female,80,77686.50006
2003,female,80,80042.76368
2004,female,80,82471.85525
2005,female,80,84973.95407
2006,female,80,87549.25766
2007,female,80,90198
2008,female,80,92919.9076
2009,female,80,95711.37645
2010,female,80,98572.54024
2011,female,80,101503.8244
2012,female,80,104511.0604
