Date,Day,Action,Protester,Target,Govt agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,OSD,OSR,Source,Story date,No event found
01-Jan-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
02-Jan-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
03-Jan-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
04-Jan-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
05-Jan-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
06-Jan-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
07-Jan-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
08-Jan-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
09-Jan-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
10-Jan-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
11-Jan-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
12-Jan-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
13-Jan-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
14-Jan-80,Mon,petition,religious,government,,anti-road,Poland,Czestochowa,anti-road,,,301,0,0,0,N,0,0,0,20000000,3187500,Reuters,14/01/1980,
15-Jan-80,Tue,demonstration,Social Assistance Comm,NATO,,nuclear arms,Poland,Warsaw,nuclear arms,,,301,0,0,0,N,0,0,0,30001,3187500,BBC,15/01/1980,
15-Jan-80,Tue,demonstration,timber workers,NATO,,nuclear arms,Poland,Losoina Gorna,nuclear arms,,,301,0,0,0,N,0,0,0,30001,3187500,BBC,15/01/1980,
15-Jan-80,Tue,demonstration,factory workers,NATO,,nuclear arms,Poland,Gliwice,nuclear arms,,,301,0,0,0,N,0,0,0,30001,3187500,BBC,15/01/1980,
15-Jan-80,Tue,demonstration,students,NATO,,nuclear arms,Poland,Poland,nuclear arms,,,500,0,0,0,N,0,0,0,495700,3187500,BBC,16/01/1980,
16-Jan-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
17-Jan-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
18-Jan-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
19-Jan-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
20-Jan-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
21-Jan-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
