Event date,Day,Action,Protester,State/target,Agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,Org strength: dissidents,Org. strength: regime,Source,Story date,No event found
01-Jan-84,Sun,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
02-Jan-84,Mon,petition,Solidarity,government,,Walesa sends a letter to Jaruzelski,Poland,Gdansk,reform,08/10/1982,,1,0,0,0,N,0,0,0,14000000,1816000,Reuters,02/01/1984,
02-Jan-84,Mon,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
03-Jan-84,Tue,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
04-Jan-84,Wed,accede,Church,government,,Jaruzelski grants talk to Glemp,Poland,Warsaw,accede,,,0,0,0,0,N,0,0,0,20000000,1816000,Reuters,04/01/1984,
04-Jan-84,Wed,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
05-Jan-84,Thu,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
05-Jan-84,Thu,dismissed,Solidarity,government,management,state agrees with private company to fire strikers,Poland,Kedzierzyn-Kozle,jobs,,,54,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/02/1984,
06-Jan-84,Fri,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
07-Jan-84,Sat,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
08-Jan-84,Sun,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
09-Jan-84,Mon,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
10-Jan-84,Tue,harassment,Solidarity,government,,Walesa forbidden to go to ILO meeting in Geneva,Poland,Warsaw,repression,08/10/1982,,1,0,0,0,N,0,0,0,14000000,1816000,Reuters,10/01/1984,
10-Jan-84,Tue,arrest,Solidarity,government,police,Solidarity lawyer arrested before meeting with Glemp,Poland,Warsaw,repression,,,1,1,0,0,N,31,0,0,14000000,1816000,Reuters,11/01/1984,
10-Jan-84,Tue,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
11-Jan-84,Wed,harassment,Church,government,tax dept.,state tries to remove Father Jankowski from church,Poland,Gdansk,repression,,,1,0,0,0,N,0,0,0,20000000,1816000,Reuters,11/01/1984,
11-Jan-84,Wed,hunger strike,Solidarity,government,prison,political prisoners stage hunger strike,Poland,Strzelin,freedom,,,15,0,0,0,N,0,0,0,14000000,1816000,Reuters,13/01/1984,
12-Jan-84,Thu,arrest,Church,government,police,"Fr. Popieluszko arrested, questioned",Poland,Warsaw,repression,,,1,1,0,0,N,31,0,0,20000000,1816000,Reuters,12/01/1984,
