cluster,hh,gov,replacement,year_hh_formed,age,sex,present,othersib,sib
1,1,18,,1986,53,M,N,N,Y
1,1,18,,1986,50,F,N,N,Y
1,1,18,,1986,24,F,Y,Y,Y
1,1,18,,1986,22,F,Y,Y,N
1,1,18,,1986,19,M,Y,Y,N
1,1,18,,1986,16,M,,,
1,1,18,,1986,12,F,,,
1,1,18,,1986,9,F,,,
1,1,18,,1986,8,F,,,
1,2,18,,2003,37,M,Y,N,Y
1,2,18,,2003,33,F,Y,N,Y
1,2,18,,2003,7,F,,,
1,2,18,,2003,4,F,,,
1,2,18,,2003,2,F,,,
1,3,18,,1976,59,M,Y,N,Y
1,3,18,,1976,54,F,Y,N,Y
1,3,18,,1976,21,M,Y,Y,Y
1,3,18,,1976,20,M,Y,Y,N
1,4,18,,1999,34,M,Y,N,N
1,4,18,,1999,30,M,Y,N,Y
1,4,18,,1999,13,M,,,
1,4,18,,1999,11,F,,,
1,4,18,,1999,6,M,,,
1,4,18,,1999,2,M,,,
1,5,18,,2007,30,M,Y,N,N
1,5,18,,2007,34,F,Y,N,Y
1,5,18,,2007,3,M,,,
1,5,18,,2007,2,F,,,
1,6,18,,1980,49,M,Y,N,Y
1,6,18,,1980,46,F,Y,N,Y
1,6,18,,1980,21,M,Y,Y,Y
1,6,18,,1980,19,F,Y,Y,N
1,6,18,,1980,16,F,,,
1,6,18,,1980,13,F,,,
1,6,18,,1980,10,F,,,
1,6,18,,1980,9,F,,,
1,7,18,,1998,41,M,Y,N,Y
1,7,18,,1998,33,F,Y,N,Y
1,7,18,,1998,12,F,,,
1,7,18,,1998,11,M,,,
1,7,18,,1998,9,F,,,
1,8,18,,1971,68,M,Y,N,Y
1,8,18,,1971,55,F,Y,N,Y
1,8,18,,1971,30,M,Y,Y,N
1,8,18,,1971,26,M,Y,Y,N
1,8,18,,1971,24,F,Y,Y,N
1,8,18,,1971,21,M,Y,Y,Y
1,8,18,,1971,18,F,Y,Y,N
1,9,18,,1927,71,F,Y,Y,Y
1,9,18,,1927,61,F,Y,Y,N
1,9,18,,1927,69,M,N,Y,N
1,10,18,,1989,45,F,Y,N,Y
1,10,18,,1989,24,F,Y,Y,Y
1,10,18,,1989,27,M,Y,Y,N
1,10,18,,1989,19,M,Y,Y,N
1,10,18,,1989,12,M,,,
1,11,18,,1985,61,M,Y,N,Y
1,11,18,,1985,53,F,Y,N,Y
1,11,18,,1985,23,F,Y,Y,Y
1,11,18,,1985,22,M,N,Y,N
1,11,18,,1985,10,M,,,
1,12,18,,2006,33,M,Y,N,N
1,12,18,,2006,24,F,Y,N,Y
1,12,18,,2006,4,F,,,
1,13,18,,2009,32,M,Y,N,N
1,13,18,,2009,32,F,Y,N,Y
1,14,18,,1990,75,M,Y,N,Y
1,14,18,,1990,46,F,Y,N,Y
1,14,18,,1990,16,F,,,
1,14,18,,1990,13,M,,,
1,14,18,,1990,10,F,,,
1,15,18,,1976,55,F,Y,N,Y
1,15,18,,1976,27,F,Y,N,Y
1,15,18,,1976,27,M,Y,Y,Y
1,15,18,,1976,25,M,Y,Y,N
1,15,18,,1976,31,F,N,Y,N
1,15,18,,1976,21,M,N,Y,N
1,15,18,,1976,19,F,N,Y,N
1,15,18,,1976,15,M,,,
1,16,18,,1983,57,M,Y,N,Y
1,16,18,,1983,47,F,Y,N,Y
1,16,18,,1983,24,M,Y,Y,Y
1,16,18,,1983,21,M,Y,Y,N
1,16,18,,1983,18,F,Y,N,Y
1,16,18,,1983,14,M,,,
1,16,18,,1983,11,M,,,
1,16,18,,1983,9,M,,,
1,16,18,,1983,12,M,,,
1,16,18,,1983,1,F,,,
1,17,18,,1980,57,M,Y,N,Y
1,17,18,,1980,48,F,Y,N,N
1,17,18,,1980,28,M,Y,Y,Y
1,17,18,,1980,19,M,Y,Y,N
1,17,18,,1980,19,F,Y,Y,N
1,17,18,,1980,7,F,,,
1,17,18,,1980,13,M,,,
1,18,18,,1993,55,M,Y,Y,Y
1,18,18,,1993,40,F,Y,N,Y
1,18,18,,1993,56,M,Y,Y,N
1,18,18,,1993,17,F,,,
1,18,18,,1993,15,F,,,
1,18,18,,1993,12,M,,,
1,19,18,,1997,38,M,Y,N,N
1,19,18,,1997,32,F,Y,N,Y
1,19,18,,1997,14,F,,,
1,19,18,,1997,9,M,,,
1,19,18,,1997,8,M,,,
1,19,18,,1997,4,M,,,
1,20,18,,2008,30,M,Y,N,Y
1,20,18,,2008,22,F,Y,N,Y
1,20,18,,2008,0,F,,,
2,1,2,,1972,59,M,Y,N,Y
2,1,2,,1972,55,F,Y,N,Y
2,1,2,,1972,10,M,,,
2,1,2,,1972,12,M,,,
2,2,2,,2011,20,M,N,N,N
2,2,2,,2011,19,F,Y,N,Y
2,3,2,,2002,30,M,Y,N,Y
2,3,2,,2002,27,F,Y,N,Y
2,3,2,,2002,8,F,,,
2,3,2,,2002,6,F,,,
2,3,2,,2002,3,M,,,
2,3,2,,2002,1,M,,,
2,4,2,,2007,59,M,Y,N,N
2,4,2,,2007,32,F,Y,N,Y
2,4,2,,2007,3,F,,,
2,4,2,,2007,2,M,,,
2,5,2,,1991,38,M,Y,N,Y
2,5,2,,1991,37,F,Y,N,Y
2,5,2,,1991,19,M,Y,Y,Y
2,5,2,,1991,16,M,,,
2,5,2,,1991,13,M,,,
2,5,2,,1991,5,M,,,
2,5,2,,1991,5,F,,,
2,6,2,,2000,27,M,Y,N,N
2,6,2,,2000,25,F,Y,N,Y
2,6,2,,2000,12,F,,,
2,6,2,,2000,7,M,,,
2,6,2,,2000,5,M,,,
2,7,2,,1993,38,F,Y,N,Y
2,7,2,,1993,31,F,Y,N,N
2,7,2,,1993,16,M,,,
2,7,2,,1993,13,F,,,
2,7,2,,1993,10,F,,,
2,7,2,,1993,9,F,,,
2,7,2,,1993,5,M,,,
2,8,2,,2005,25,M,Y,N,N
2,8,2,,2005,25,F,Y,N,Y
2,8,2,,2005,4,F,,,
2,8,2,,2005,1,M,,,
2,9,2,,1999,29,M,Y,N,N
2,9,2,,1999,31,F,Y,N,N
2,9,2,,1999,10,F,,,
2,9,2,,1999,2,F,,,
