Event date,Day,Action,Protester,State/target,Agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,Org strength: dissidents,Org. strength: regime,Source,Story date,No event found
01-Jan-82,Fri,exit,seamen,military,,defect from Polish freighter in Canada,Poland,Canada,freedom,13/12/1981,,9,0,0,0,N,0,0,0,14000000,2036100,Reuters,01/01/1982,
01-Jan-82,Fri,exit,seamen,military,,replacement seamen sent to Canada also defect,Poland,Canada,freedom,13/12/1981,,12,0,0,0,N,0,0,0,14000000,2036100,CSM,12/01/1982,
01-Jan-82,Fri,petition,Church,military,,Pope says trade unions should be free,Poland,Rome,freedom,13/12/1981,,1,0,0,0,N,0,0,0,20000000,2036100,Reuters,01/01/1982,
01-Jan-82,Fri,petition,Solidarity,military,,"leaflet urges police, army to defect",Poland,Warsaw,freedom,13/12/1981,,21,0,0,0,N,0,0,0,14000000,2036100,Reuters,01/01/1982,
01-Jan-82,Fri,symbolic,Solidarity,military,,candles left at monument of repression,Poland,Poznan,freedom,13/12/1981,,6,0,0,0,N,0,0,0,14000000,2036100,Reuters,13/01/1982,
01-Jan-82,Fri,exit,Solidarity,military,,Poles get political asylum in France,Poland,France,freedom,13/12/1981,,15,0,0,0,N,0,0,0,14000000,2036100,Reuters,15/01/1982,
02-Jan-82,Sat,exit,Rokowski,military,,son of Polish PM defects to Germany,Poland,London,freedom,13/12/1981,,1,0,0,0,N,0,0,0,14000000,2036100,Reuters,02/01/1982,
02-Jan-82,Sat,trial,Solidarity,military,,"9 Solidarity leaders fined, sentenced to prison",Poland,Warsaw,repression,13/12/1981,,0,9,0,0,N,0,0,0,14000000,2036100,Reuters,04/01/1982,
02-Jan-82,Sat,symbolic,Solidarity,military,,candles left at monument of repression,Poland,Poznan,freedom,13/12/1981,,6,0,0,0,N,0,0,0,14000000,2036100,Reuters,13/01/1982,
02-Jan-82,Sat,exit,Solidarity,military,,Poles get political asylum in France,Poland,France,freedom,13/12/1981,,15,0,0,0,N,0,0,0,14000000,2036100,Reuters,15/01/1982,
02-Jan-82,Sat,exit,dissidents,military,,allowed to leave Poland legally,Poland,Poland,freedom,13/12/1981,,21,0,0,0,N,0,0,0,14000000,2036000,BBC,27/01/1982,
03-Jan-82,Sun,civil disobedience,Solidarity,military,,70% of Lenin shipyard workers do not sign loyalty oath,Poland,Gdansk,freedom,13/12/1981,,10500,0,0,0,N,0,0,0,14000000,2036100,Reuters,04/01/1982,
03-Jan-82,Sun,petition,Solidarity,military,,leaflet condemns martial law effects,Poland,Poland,freedom,13/12/1981,,21,0,0,0,N,0,0,0,14000000,2036100,Reuters,04/01/1982,
03-Jan-82,Sun,symbolic,Solidarity,military,,candles left at monument of repression,Poland,Poznan,freedom,13/12/1981,,6,0,0,0,N,0,0,0,14000000,2036100,Reuters,13/01/1982,
