society,year,society_type,time_type,military_status,population,war_group_size,X.W,logP,logW,W_P
Afghanistan,2014,State,Contemporary,1,27101365,331100,0.8746490528,17.11509465,12.71017572,0.012217097
Albania,2014,State,Contemporary,0,2893005,19750,0.8166818494,14.87780631,9.89090877,0.006826812
Algeria,2014,State,Contemporary,1,39500000,423500,0.8698832955,17.49181123,12.95630879,0.010721519
Angola,2014,State,Contemporary,0,24383301,117000,0.81892644,17.00940907,11.66992921,0.004798366
Antigua and Barbuda,2014,State,Contemporary,0,86295,245,0.6828353719,11.36552694,5.501258211,0.002839098
Argentina,2014,State,Contemporary,0,43131966,104340,0.7858425787,17.57977495,11.55541008,0.002419088
Australia,2014,State,Contemporary,0,23847700,80362,0.7978845036,16.98719833,11.29429671,0.003369801
Bahamas,2014,State,Contemporary,0,377374,860,0.7021621056,12.84099202,6.756932389,0.002278906
Barbados,2014,State,Contemporary,0,285000,1040,0.732987453,12.56024446,6.946975992,0.003649123
Belgium,2014,State,Contemporary,0,11248330,35736,0.7849009121,16.23573023,10.48391386,0.003177005
Belize,2014,State,Contemporary,0,358899,1750,0.7604606038,12.79079629,7.467371067,0.004876024
Benin,2014,State,Contemporary,0,10315244,7250,0.6903331655,16.14913336,8.888756748,0.000702843
Bhutan,2014,State,Contemporary,0,763200,9000,0.8390014322,13.5452754,9.104979856,0.011792453
Bolivia,2014,State,Contemporary,0,11410651,83200,0.8362141488,16.25005778,11.32900263,0.007291433
Bosnia and Herzegovina,2014,State,Contemporary,0,3791622,10500,0.760392437,15.14830445,9.259130536,0.002769263
Botswana,2014,State,Contemporary,0,2056000,10500,0.7924078073,14.53627291,9.259130536,0.005107004
Bulgaria,2014,State,Contemporary,0,7202198,355600,0.9525766737,15.78989682,12.78156178,0.049373816
Burkina Faso,2014,State,Contemporary,0,18450494,11450,0.6936553041,16.7306017,9.345745009,0.00062058
Burundi,2014,State,Contemporary,0,9823827,51050,0.8136537257,16.10032132,10.84056082,0.005196549
Cambodia,2014,State,Contemporary,0,15405157,191300,0.8713557863,16.55021288,12.16159816,0.01241792
Cameroon,2014,State,Contemporary,0,21143237,23100,0.7296636669,16.86683065,10.0475879,0.001092548
Canada,2014,State,Contemporary,0,35750600,147500,0.8142275682,17.39207761,11.90158345,0.004125805
Cape Verde,2014,State,Contemporary,0,518467,1200,0.7105299914,13.15863166,7.090076836,0.002314516
Chile,2014,State,Contemporary,0,18006407,143771,0.8461212196,16.7062382,11.87597703,0.007984436
Costa Rica,2014,State,Contemporary,0,4773130,9800,0.7445234395,15.37851283,9.190137665,0.00205316
Cote D'Ivoire,2014,State,Contemporary,0,22671331,28550,0.7391642447,16.93661173,10.25941222,0.0012593
Czech Republic,2014,State,Contemporary,0,10537818,26750,0.7701573819,16.17048106,10.19428975,0.002538476
Dominican Republic,2014,State,Contemporary,0,10652000,39500,0.7937319444,16.18125823,10.58405595,0.003708224
Ecuador,2014,State,Contemporary,0,15539000,176983,0.8662028358,16.55886355,12.08380896,0.0113896
Equatorial Guinea,2014,State,Contemporary,0,1430000,3320,0.7314690145,14.173185,8.107720062,0.002321678
Fiji,2014,State,Contemporary,0,859178,9500,0.835684803,13.6637314,9.159047078,0.01105708
Gabon,2014,State,Contemporary,0,1751000,6700,0.770007043,14.37569761,8.809862805,0.003826385
Gambia,2014,State,Contemporary,0,1849000,800,0.6198226571,14.43015551,6.684611728,0.000432666
Germany,2014,State,Contemporary,0,81083600,220996,0.7998150821,18.21099128,12.30589988,0.002725533
Ghana,2014,State,Contemporary,0,27043093,15500,0.6958546798,17.11294219,9.648595303,0.000573159
Guinea,2014,State,Contemporary,0,10628972,19300,0.7495713882,16.17909404,9.867860375,0.001815792
Guinea-Bissau,2014,State,Contemporary,0,1788000,6450,0.7662472183,14.39660823,8.77183541,0.003607383
Guyana,2014,State,Contemporary,0,746900,3270,0.7654769875,13.52368659,8.092545264,0.004378096
Haiti,2014,State,Contemporary,0,10911819,2000,0.6084671889,16.20535707,7.60090246,0.000183287
Honduras,2014,State,Contemporary,0,8725111,80000,0.8478005573,15.98171575,11.28978191,0.009168938
Hungary,2014,State,Contemporary,0,9849000,78587,0.8403146994,16.10288049,11.27196157,0.007979186
Iceland,2014,State,Contemporary,0,330610,230,0.6056959497,12.70869471,5.438079309,0.000695684
Ireland,2014,State,Contemporary,0,4609600,13871,0.7688574719,15.34365164,9.537555609,0.003009155
Italy,2014,State,Contemporary,0,60788845,379138,0.8427858733,17.92291686,12.84565553,0.006236967
Jamaica,2014,State,Contemporary,0,2717991,3783,0.7085732214,14.81540356,8.238272625,0.001391837
Japan,2014,State,Contemporary,0,126865000,317913,0.8001153018,18.65863409,12.66953304,0.002505916
Kazakhstan,2014,State,Contemporary,0,17519000,80500,0.8127407763,16.67879656,11.29601246,0.004595011
Kenya,2014,State,Contemporary,0,46749000,29120,0.7099938096,17.66030342,10.2791805,0.000622901
Kosovo,2014,State,Contemporary,0,1827231,3300,0.7186141596,14.41831226,8.101677747,0.001806011
Kyrgyzstan,2014,State,Contemporary,0,5944400,20400,0.7810518593,15.59796016,9.92329018,0.003431801
Latvia,2014,State,Contemporary,0,1980700,15266,0.8202594047,14.49896088,9.633383412,0.007707376
Lesotho,2014,State,Contemporary,0,2120000,2000,0.6769051772,14.56692665,7.60090246,0.000943396
Liberia,2014,State,Contemporary,0,4503000,2400,0.6555210741,15.3202544,7.783224016,0.000532978
Lithuania,2014,State,Contemporary,0,2904391,31940,0.8487680119,14.88173429,10.37161442,0.010997142
Luxembourg,2014,State,Contemporary,0,562958,1512,0.7235664136,13.2409603,7.321188557,0.002685813
Madagascar,2014,State,Contemporary,0,24235000,21600,0.7198583881,17.00330843,9.980448594,0.000891273
Malawi,2014,State,Contemporary,0,16310431,6800,0.667428975,16.6073154,8.824677891,0.000416911
Mali,2014,State,Contemporary,0,16259000,15150,0.715801549,16.60415716,9.625755811,0.000931792
Malta,2014,State,Contemporary,0,445426,2127,0.7628320408,13.00678641,7.662467815,0.004775204
Mauritania,2014,State,Contemporary,0,3631775,20870,0.8080374766,15.10523207,9.946068,0.005746501
Mauritius,2014,State,Contemporary,0,1261208,2000,0.701930701,14.04758055,7.60090246,0.001585781
Mozambique,2014,State,Contemporary,0,25727911,11200,0.6788451976,17.06308699,9.323669057,0.000435325
Namibia,2014,State,Contemporary,0,2280700,15200,0.8120616133,14.63999297,9.629050707,0.006664621
Nepal,2014,State,Contemporary,0,28037904,157753,0.8296842436,17.14906787,11.9687858,0.005626419
Netherlands,2014,State,Contemporary,0,16913200,46500,0.7814853358,16.64360494,10.74720759,0.002749332
New Zealand,2014,State,Contemporary,0,4603730,11951,0.7592106187,15.3423774,9.388570236,0.002595939
Nicaragua,2014,State,Contemporary,0,6134270,12000,0.7455299826,15.62940164,9.392661929,0.001956223
Niger,2014,State,Contemporary,0,19268000,10700,0.6878236985,16.77395625,9.27799902,0.000555325
Nigeria,2014,State,Contemporary,0,183523000,162000,0.7491585649,19.02785056,11.99535161,0.000882723
Panama,2014,State,Contemporary,0,3764166,12000,0.76957659,15.14103688,9.392661929,0.003187957
Papua New Guinea,2014,State,Contemporary,0,7398500,3100,0.6511235468,15.81678783,8.03915739,0.000419004
Poland,2014,State,Contemporary,0,38484000,192700,0.8260975265,17.46575313,12.16888985,0.005007276
Qatar,2014,State,Contemporary,0,2344557,11800,0.7932705308,14.66760703,9.37585481,0.005032934
Republic of Macedonia,2014,State,Contemporary,0,2065769,12850,0.8060390706,14.54101311,9.46109909,0.006220444
Republic of the Congo,2014,State,Contemporary,0,4671000,12000,0.7587598975,15.35688374,9.392661929,0.002569043
Rwanda,2014,State,Contemporary,0,10996891,35000,0.7847117932,16.21312315,10.46310334,0.003182718
Senegal,2014,State,Contemporary,0,13508715,18620,0.7364413708,16.41884559,9.831991551,0.001378369
Seychelles,2014,State,Contemporary,0,89949,650,0.765889314,11.40699812,6.476972363,0.007226317
Sierra Leone,2014,State,Contemporary,0,6319000,10500,0.7355899819,15.65907153,9.259130536,0.001661655
Slovakia,2014,State,Contemporary,0,5421349,22610,0.7923247691,15.50585524,10.02614757,0.004170549
Slovenia,2014,State,Contemporary,0,2067463,8800,0.7799589469,14.54183281,9.082507,0.004256424
South Africa,2014,State,Contemporary,0,54002000,89535,0.7673277101,17.80453164,11.40238489,0.001657994
Spain,2014,State,Contemporary,0,46439864,220490,0.8249352246,17.65366879,12.30360762,0.004747861
Suriname,2014,State,Contemporary,0,534189,1840,0.7413309138,13.18850499,7.517520851,0.003444474
Sweden,2014,State,Contemporary,0,9784445,51765,0.8147208683,16.09630444,10.85446952,0.00529054
Tajikistan,2014,State,Contemporary,0,8354000,16300,0.7502985097,15.93825102,9.698920387,0.001951161
Tanzania,2014,State,Contemporary,0,48829000,108400,0.7824919858,17.70383496,11.59358337,0.002219992
Timor L'este,2014,State,Contemporary,0,1212107,1332,0.6749036053,14.00787073,7.194436851,0.001098913
Togo,2014,State,Contemporary,0,7171000,9300,0.7220078608,15.78555567,9.137769679,0.00129689
Trinidad and Tobago,2014,State,Contemporary,0,1328019,4063,0.7496314197,14.09919892,8.309676896,0.003059444
Tunisia,2014,State,Contemporary,0,10982754,47800,0.8039993677,16.21183678,10.77478092,0.004352278
Turkmenistan,2014,State,Contemporary,0,4751120,22000,0.7973468386,15.37389094,9.998797732,0.004630487
Uganda,2014,State,Contemporary,0,34856813,46800,0.7493144782,17.36675917,10.75363848,0.001342636
Uzbekistan,2014,State,Contemporary,0,31022500,68000,0.7760356692,17.25022331,11.12726298,0.002191957
Venezuela,2014,State,Contemporary,0,30620404,123000,0.811006647,17.23717714,11.71993963,0.004016929
Zambia,2014,State,Contemporary,0,15473905,19500,0.7331887959,16.55466561,9.878169745,0.001260186
Zimbabwe,2014,State,Contemporary,0,13061239,50800,0.7992096262,16.38515955,10.83565163,0.003889371
Afghanistan,2014,State,Contemporary,1,27101365,331100,0.8746490528,17.11509465,12.71017572,0.012217097
Albania,2014,State,Contemporary,1,2893005,19750,0.8166818494,14.87780631,9.89090877,0.006826812
Algeria,2014,State,Contemporary,1,39500000,423500,0.8698832955,17.49181123,12.95630879,0.010721519
Angola,2014,State,Contemporary,1,24383301,117000,0.81892644,17.00940907,11.66992921,0.004798366
Armenia,2014,State,Contemporary,1,3006800,261432,0.987736182,14.91638695,12.47392949,0.08694692
Austria,2014,State,Contemporary,1,8602112,49800,0.8188683808,15.96751831,10.81577026,0.005789276
Azerbaijan,2014,State,Contemporary,1,9636300,381950,0.9397752437,16.08104778,12.85304499,0.039636583
Bahrain,2014,State,Contemporary,1,1316500,19460,0.8612648901,14.09048726,9.876116356,0.014781618
Bangladesh,2014,State,Contemporary,1,158763000,2753000,0.9049302014,18.88292308,14.82820178,0.017340312
Belarus,2014,State,Contemporary,1,9481000,461500,0.9525025272,16.06480035,13.04223733,0.0486763
Brazil,2014,State,Contemporary,1,204676000,2053480,0.8775997171,19.1369388,14.53504647,0.010032832
Brunei,2014,State,Contemporary,1,393372,9950,0.8899548719,12.88251101,9.20532783,0.025294124
Burma,2014,State,Contemporary,1,54164000,478000,0.8612589261,17.80752704,13.07736601,0.00882505
Central African Republic,2014,State,Contemporary,1,4803000,3150,0.6704484946,15.38475128,8.055157732,0.00065584
Chad,2014,State,Contemporary,1,13606000,34850,0.7742796437,16.42602143,10.45880842,0.00256137
China,2014,State,Contemporary,1,1371230000,6927000,0.8560523433,21.03897398,15.75093738,0.005051669
Colombia,2014,State,Contemporary,1,48237500,1427448,0.9287390898,17.69164728,14.17139879,0.029592081
Croatia,2014,State,Contemporary,1,4267558,40550,0.8430074053,15.26655232,10.61029106,0.009501921
Cuba,2014,State,Contemporary,1,11238317,114500,0.8566672661,16.23483966,11.6483301,0.010188358
Cyprus,2014,State,Contemporary,1,858000,62750,0.9739488687,13.66235938,11.04691386,0.073135198
Democratic People's Republic of Korea,2014,State,Contemporary,1,25155000,7679000,1.0629649374,17.04056724,15.85399989,0.305267342
Democratic Republic of Afghanistan,2014,State,Contemporary,1,13000000,55000,0.8042884104,16.38045992,10.91508846,0.004230769
Democratic Republic of the Congo,2014,State,Contemporary,1,71246000,145400,0.7823826944,18.08164924,11.88724384,0.002040816
Denmark,2014,State,Contemporary,1,5668743,82986,0.8736678601,15.55047796,11.3264272,0.014639224
Djibouti,2014,State,Contemporary,1,900000,33696,0.9252021298,13.71015004,10.42513441,0.03744
Egypt,2014,State,Contemporary,1,89217300,1314500,0.8930388741,18.30658552,14.08896692,0.01473369
El Salvador,2014,State,Contemporary,1,6401240,42400,0.8240446252,15.67200228,10.65490364,0.006623717
Eritrea,2014,State,Contemporary,1,6738000,321750,0.9502509472,15.7232737,12.68153013,0.047751558
Estonia,2014,State,Contemporary,1,1313271,47750,0.9251299532,14.08803153,10.77373435,0.036359594
Ethiopia,2014,State,Contemporary,1,90077000,138000,0.7695129712,18.31617542,11.83500896,0.001532023
Finland,2014,State,Contemporary,1,5483533,270300,0.9516379299,15.51726016,12.50728773,0.049293038
France,2014,State,Contemporary,1,66162000,328057,0.8307855721,18.00761684,12.70094265,0.00495839
Georgia,2014,State,Contemporary,1,3729500,189525,0.9524191678,15.13178473,12.15227622,0.050817804
Greece,2014,State,Contemporary,1,10903704,329720,0.9235348351,16.20461311,12.70599909,0.030239265
Guatemala,2014,State,Contemporary,1,16176133,98075,0.8285423258,16.59904744,11.49348777,0.006062945
India,2014,State,Contemporary,1,1274880000,4768857,0.8412211982,20.96611789,15.37761721,0.003740632
Indonesia,2014,State,Contemporary,1,255770000,1093537,0.8349498759,19.35978916,13.90492795,0.00427547
Iran,2014,State,Contemporary,1,78523400,913000,0.879261694,18.17890723,13.72449116,0.011627107
Iraq,2014,State,Contemporary,1,36004552,800000,0.9110725067,17.39915593,13.59236701,0.022219413
Israel,2014,State,Contemporary,1,8358100,649500,0.9814754531,15.93874169,13.38395812,0.077709049
Jordan,2014,State,Contemporary,1,6759700,180500,0.9133005846,15.72648907,12.10348606,0.026702368
Kuwait,2014,State,Contemporary,1,3268431,46300,0.8668385563,14.99982061,10.74289724,0.014165818
Laos,2014,State,Contemporary,1,6802000,129100,0.8916361393,15.73272724,11.76834258,0.018979712
Lebanon,2014,State,Contemporary,1,4104000,100000,0.9044475975,15.22747267,11.51292546,0.024366472
Libya,2014,State,Contemporary,1,6317000,47000,0.8313195084,15.65875497,10.75790288,0.007440241
Malaysia,2014,State,Contemporary,1,30658700,429900,0.8835396338,17.23842703,12.9713079,0.014022121
Mexico,2014,State,Contemporary,1,121740000,418844,0.8166973317,18.61739818,12.94525381,0.00344048
Moldova,2014,State,Contemporary,1,3555200,65704,0.885210146,15.08392188,11.09291509,0.018481098
Mongolia,2014,State,Contemporary,1,3028359,154200,0.9518880564,14.92353145,11.94600574,0.050918666
Montenegro,2014,State,Contemporary,1,620029,13084,0.8801238645,13.33752153,9.479145389,0.021102239
Morocco,2014,State,Contemporary,1,33337529,395800,0.8744960158,17.32219432,12.88866431,0.011872506
Norway,2014,State,Contemporary,1,5176998,83000,0.8788068289,15.45973591,11.32659589,0.016032457
Oman,2014,State,Contemporary,1,4163869,47000,0.8540524016,15.24195525,10.75790288,0.011287579
Pakistan,2014,State,Contemporary,1,190485000,1447800,0.8625758647,19.06508401,14.18555572,0.007600598
Palestine,2014,State,Contemporary,1,4682467,56000,0.8589324994,15.35933567,10.93310697,0.011959508
Paraguay,2014,State,Contemporary,1,7003406,189950,0.9144858941,15.76190716,12.15451616,0.027122517
Peru,2014,State,Contemporary,1,31151643,380000,0.875572132,17.25437755,12.84792653,0.012198394
Philippines,2014,State,Contemporary,1,101821000,296500,0.8058760325,18.43872693,12.5998025,0.002911973
Portugal,2014,State,Contemporary,1,10477800,291505,0.9181905274,16.16476929,12.58281244,0.027821203
Romania,2014,State,Contemporary,1,19942642,198800,0.8602606605,16.80837081,12.20005457,0.009968589
Russia,2014,State,Contemporary,1,146535614,3280000,0.9181025599,18.80277906,15.00335398,0.022383637
Saudi Arabia,2014,State,Contemporary,1,31521418,249000,0.8504912866,17.26617781,12.42520818,0.007899391
Serbia,2014,State,Contemporary,1,7114393,88355,0.8650629571,15.77763047,11.38911807,0.01241919
Singapore,2014,State,Contemporary,1,5469700,1021600,1.0374915771,15.51473433,13.83688058,0.186774412
Somalia,2014,State,Contemporary,1,11123000,44000,0.7982649749,16.22452559,10.69194491,0.003955767
South Korea,2014,State,Contemporary,1,51431100,3730000,0.9794821882,17.75575361,15.13191879,0.072524212
South Sudan,2014,State,Contemporary,1,11892934,140000,0.8660321196,16.291455,11.8493977,0.011771696
Sri Lanka,2014,State,Contemporary,1,20675000,378100,0.8965832856,16.8444358,12.84291399,0.018287787
Sudan,2014,State,Contemporary,1,38435252,211800,0.8315689127,17.46448562,12.26339771,0.005510566
Switzerland,2014,State,Contemporary,1,8256000,257900,0.9242393683,15.92645077,12.46032719,0.031237888
Syria,2014,State,Contemporary,1,23309137,250000,0.8658590878,16.96435599,12.4292162,0.010725408
Taiwan,2014,State,Contemporary,1,23461562,1889000,0.9846919946,16.97087398,14.45155815,0.080514673
Thailand,2014,State,Contemporary,1,65104000,664560,0.8707672543,17.99149655,13.40688045,0.010207668
Turkey,2014,State,Contemporary,1,77695904,1036095,0.8867358743,18.1683131,13.8509694,0.013335259
Ukraine,2014,State,Contemporary,1,42836922,1035700,0.9167583977,17.57291095,13.85058808,0.024177741
United Arab Emirates,2014,State,Contemporary,1,9577000,100000,0.8567687844,16.07487495,11.51292546,0.010441683
United Kingdom,2014,State,Contemporary,1,64800000,234310,0.8130358245,17.98681616,12.3644003,0.003615895
United States,2014,State,Contemporary,1,321510000,2226635,0.8615000568,19.58853921,14.61600204,0.006925554
Uruguay,2014,State,Contemporary,1,3415866,25439,0.8244889961,15.04394161,10.14403871,0.007447306
Vietnam,2014,State,Contemporary,1,91812000,3522000,0.9453954432,18.33525357,15.07453957,0.038360999
