conflict,society,area,type,start,end,period,W,C,lnW,lnC,C_W,Y
Achaelous,State,West Asia/ Europe,Hist,917,917,CE,122000,61000,11.71177632,11.01862914,0.5,1.215657179
Adys,State,Europe/    N. Africa,Hist,255,255,BCE,21000,4500,9.952277717,8.411832676,0.214285714,1.168647905
Agrigentum,State,Europe/    N. Africa,Hist,262,262,BCE,90000,4200,11.40756495,8.342839804,0.046666667,1.013513022
Ajnadayn,State,West Asia,Hist,634,634,CE,40000,20000,10.59663473,9.903487553,0.5,1.238351959
Al-Qaddissiyah,State,West Asia,Hist,636,636,CE,110000,30500,11.60823564,10.32548196,0.277272727,1.166788666
Algerian Civil War (1991-2002),State,N. Africa,Cont,1991,2002,CE,180000,200000,12.10071213,12.20607265,1.111111111,1.274714108
Algerian War of Independence           (1954-1962),State,N. Africa,Cont,1954,1962,CE,903000,925000,13.71347783,13.73754902,1.024363234,1.236478817
Altai Mountains,State,East Asia,Hist,89,89,CE,297000,14000,12.60148742,9.546812609,0.047138047,1.013030288
American Civil War (1861-1865),State,N. America,Hist,1861,1865,CE,3050000,800000,14.93065215,13.59236701,0.262295082,1.125955026
Amphipolis,State,Europe,Hist,422,422,BCE,4500,608,8.411832676,6.410174882,0.135111111,1.144703072
An Lushan Rebellion,State,East Asia,Hist,755,763,CE,900000,24500000,13.71015004,17.01418368,27.22222222,1.475772288
Aquae Sextiae,State,Europe,Hist,102,102,BCE,160000,91000,11.98292909,11.41861479,0.56875,1.221528601
Arcadiopolis,State,West Asia,Hist,970,970,CE,41000,5050,10.62132735,8.527143522,0.123170732,1.105889967
Asculum ,State,Europe,Hist,279,279,BCE,156000,9500,11.95761129,9.159047078,0.060897436,1.035150132
Assiniboin,Small Scale,N. America,Ethn,1849,1849,CE,52,52,3.951243719,3.951243719,1,1.814648767
Badr,State,West Asia,Hist ,624,624,CE,1605,84,7.380879036,4.430816799,0.052336449,1.036420267
Baecula,State,Europe/      N. Africa,Hist ,208,208,CE,60000,8000,11.00209984,8.987196821,0.133333333,1.109431183
Bagradas,State,Europe/    N. Africa,Hist,255,255,BCE,29500,12800,10.29214554,9.45720045,0.433898305,1.231626217
Bai ju ,State,East Asia,Hist,506,506,BCE,283000,200000,12.55320218,12.20607265,0.706713781,1.228766035
Bangladesh Liberation War (1971),State,South Asia,Cont,1971,1971,CE,1065000,2000000,13.87848536,14.50865774,1.877934272,1.277339213
Battle of Agincourt,State,Europe,Hist,1415,1415,CE,28500,10600,10.25765937,9.26860928,0.371929825,1.217381535
Battle of Alcäntara,State,Europe,Hist,1580,1580,CE,23300,4500,10.05620864,8.411832676,0.193133047,1.156569928
Battle of Alfarrobeira,State,Europe,Hist,1449,1449,CE,36000,4500,10.49127422,8.411832676,0.125,1.108607807
Battle of Aljubarrota,State,Europe,Hist,1385,1385,CE,37600,5800,10.53475933,8.665613197,0.154255319,1.12812155
Battle of Almansa,State,Europe,Hist,1707,1707,CE,47000,9000,10.75790288,9.104979856,0.191489362,1.145563017
Battle of Ancrum Moor,State,Europe,Hist,1545,1545,CE,7700,805,8.948975608,6.690842277,0.104545455,1.107357818
Battle of Ankara,State,West Asia/ Cent. Asia,Hist,1402,1402,CE,225000,80000,12.32385568,11.28978191,0.355555556,1.177282347
Battle of Arbedo,State,Europe,Hist,1422,1422,CE,18500,1500,9.825526011,7.313220387,0.081081081,1.071911692
Battle of Aughrim,State,Europe,Hist,1691,1691,CE,38000,7000,10.54534144,8.853665428,0.184210526,1.144822225
Battle of Aussig,State,Europe,Hist,1426,1426,CE,14000,4030,9.546812609,8.301521655,0.287857143,1.206727099
Battle of Axtoma,State,Europe,Hist,1565,1565,CE,18100,2300,9.803667217,7.740664402,0.127071823,1.117902106
Battle of Baia,State,Europe,Hist,1467,1467,CE,29500,14000,10.29214554,9.546812609,0.474576271,1.240333066
Battle of Bannockburn,State,Europe,Hist,1314,1314,CE,27500,10400,10.22194128,9.249561085,0.378181818,1.219771917
Battle of Barnet,State,Europe,Hist,1471,1471,CE,28250,1500,10.24884874,7.313220387,0.053097345,1.027637004
Battle of Bauge,State,Europe,Hist,1421,1421,CE,9000,1300,9.104979856,7.170119543,0.144444444,1.141023432
Battle of Benburb,State,Europe,Hist,1646,1646,CE,11000,2800,9.305650552,7.937374696,0.254545455,1.198868414
Battle of Berestechko,State,Europe,Hist,1651,1651,CE,210000,31000,12.25486281,10.34174248,0.147619048,1.106549989
Battle of Bhuchar Mori,State,South Asia,Hist,1591,1591,CE,28000,2150,10.23995979,7.673223121,0.076785714,1.063685715
Battle of Biococca,State,Europe,Hist,1522,1522,CE,43000,3800,10.66895539,8.242756346,0.088372093,1.074297506
Battle of Blenheim,State,Europe,Hist,1704,1704,CE,108000,51084,11.58988651,10.84122662,0.473,1.213135472
Battle of Blore Heath,State,Europe,Hist,1459,1459,CE,15000,3000,9.61580548,8.006367568,0.2,1.167374217
Battle of Breadfield,State,Europe/ West Asia,Hist,1479,1479,CE,29500,16250,10.29214554,9.695848188,0.550847458,1.254813582
Battle of Breitenfeld,State,Europe,Hist,1631,1631,CE,76300,32550,11.24242822,10.39053265,0.426605505,1.210539948
Battle of Breitenfeld 2,State,Europe,Hist,1642,1642,CE,40000,14000,10.59663473,9.546812609,0.35,1.204692693
Battle of Brobacka,State,Europe,Hist,1566,1566,CE,11200,3050,9.323669057,8.02289687,0.272321429,1.205724123
Battle of Brustem,State,Europe,Hist,1467,1467,CE,37000,4800,10.51867319,8.476371197,0.12972973,1.111855726
Battle of Bryn Glas,State,Europe,Hist,1402,1402,CE,3500,800,8.160518247,6.684611728,0.228571429,1.213585615
Battle of Byczyna,State,Europe,Hist,1588,1588,CE,12500,3000,9.433483923,8.006367568,0.24,1.189936134
Battle of Byeokjegwan,State,East Asia,Hist,1593,1593,CE,60000,4000,11.00209984,8.29404964,0.066666667,1.04642983
Battle of Cajamarca,State,Europe/       S. America,Hist,1532,1532,CE,8168,2004,9.00797936,7.602900462,0.245347698,1.201354472
Battle of Campaldino,State,Europe,Hist,1289,1289,CE,22400,2000,10.01681624,7.60090246,0.089285714,1.080161403
Battle of Castagnaro,State,Europe,Hist,1387,1387,CE,36500,7500,10.50506754,8.9226583,0.205479452,1.155778778
Battle of Castillon,State,Europe,Hist,1453,1453,CE,16250,4100,9.695848188,8.318742253,0.252307692,1.189954489
Battle of Ceresole,State,Europe,Hist,1544,1544,CE,29000,7250,10.27505111,8.888756748,0.25,1.17835254
Battle of Cerignola,State,Europe,Hist,1503,1503,CE,15300,2500,9.635608107,7.824046011,0.163398693,1.146053442
Battle of Chaldiran,State,West Asia,Hist,1514,1514,CE,134000,7000,11.80559508,8.853665428,0.052238806,1.022611836
Battle of Chojnice,State,Europe,Hist,1454,1454,CE,34000,3100,10.4341158,8.03915739,0.091176471,1.078963798
Battle of Chudnov,State,Europe,Hist,1660,1660,CE,90000,7300,11.40756495,8.895629627,0.081111111,1.061971201
Battle of Coutras,State,Europe,Hist,1587,1587,CE,13600,2040,9.517825072,7.620705087,0.15,1.138871626
Battle of Craibstone,State,Europe,Hist,1571,1571,CE,1700,500,7.43838353,6.214608098,0.294117647,1.26821693
Battle of Cravant,State,Europe,Hist,1423,1423,CE,12000,7600,9.392661929,8.935903526,0.633333333,1.294071845
Battle of Deutschbrod,State,Europe,Hist,1422,1422,CE,2400,510,7.783224016,6.234410726,0.2125,1.214572076
Battle of Dirschau,State,Europe,Hist,1627,1627,CE,17900,400,9.792555992,5.991464547,0.022346369,0.940545081
Battle of Dreux,State,Europe,Hist,1562,1562,CE,32000,7000,10.37349118,8.853665428,0.21875,1.163787682
Battle of Dunbar,State,Europe,Hist,1650,1650,CE,33000,2020,10.40426284,7.61085279,0.061212121,1.040893409
Battle of Dupplin Moor,State,Europe,Hist,1331,1331,CE,14750,7533,9.598998362,8.927048648,0.510711864,1.265332487
Battle of Edgehill ,State,Europe,Hist,1642,1642,CE,27400,1000,10.21829829,6.907755279,0.03649635,0.991029114
Battle of Elmina,State,Europe,Hist,1625,1625,CE,1456,1182,7.283448229,7.074963198,0.811813187,1.413319447
Battle of Elvas,State,Europe,Hist,1659,1659,CE,28000,11401,10.23995979,9.34145635,0.407178571,1.226599756
Battle of Falkirk,State,Europe,Hist,1298,1298,CE,21000,4000,9.952277717,8.29404964,0.19047619,1.156813123
Battle of Fleurus,State,Europe,Hist,1622,1622,CE,22000,5300,9.998797732,8.5754621,0.240909091,1.179575609
Battle of Flodden,State,Europe,Hist,1513,1513,CE,31000,11000,10.34174248,9.305650552,0.35483871,1.211065388
Battle of Formigny,State,Europe,Hist,1450,1450,CE,9500,3450,9.159047078,8.14612951,0.363157895,1.240850193
Battle of Fornovo,State,Europe,Hist,1495,1495,CE,30500,3200,10.32548196,8.070906089,0.104918033,1.093390309
Battle of Freiburg,State,Europe,Hist,1644,1644,CE,36500,10000,10.50506754,9.210340372,0.273972603,1.183163854
Battle of Garigliano,State,Europe,Hist,1503,1503,CE,27000,4900,10.20359214,8.496990484,0.181481481,1.148209978
Battle of Gembloux,State,Europe,Hist,1578,1578,CE,43500,9520,10.68051622,9.161150128,0.218850575,1.159122434
Battle of Gerberoy,State,Europe,Hist,1435,1435,CE,3600,1010,8.188689124,6.91770561,0.280555556,1.237875963
Battle of Glenlivet,State,Europe,Hist,1594,1594,CE,12000,514,9.392661929,6.242223265,0.042833333,1.007286237
Battle of Gorzno,State,Europe,Hist,1629,1629,CE,12000,730,9.392661929,6.593044534,0.060833333,1.044636806
Battle of Grandson,State,Europe,Hist,1476,1476,CE,38000,1100,10.54534144,7.003065459,0.028947368,0.969332415
Battle of Grunwald,State,Europe,Hist,1410,1410,CE,42500,18000,10.65725935,9.798127037,0.423529412,1.221421233
Battle of Höchst,State,Europe,Hist,1622,1622,CE,43000,2100,10.66895539,7.649692624,0.048837209,1.018709709
Battle of Heiligerlee,State,Europe,Hist,1568,1568,CE,7320,1800,8.898365607,7.495541944,0.245901639,1.204088283
Battle of Honigfelde,State,Europe,Hist,1629,1629,CE,14300,900,9.568014816,6.802394763,0.062937063,1.047371976
Battle of Honnecourt,State,Europe,Hist,1642,1642,CE,28000,4200,10.23995979,8.342839804,0.15,1.129078226
Battle of Hulst,State,Europe,Hist,1645,1645,CE,17750,4100,9.784140795,8.318742253,0.230985915,1.179216277
Battle of Hummelshof,State,Europe,Hist,1702,1702,CE,28000,5000,10.23995979,8.517193191,0.178571429,1.14610499
Battle of Inverlochy,State,Europe,Hist,1645,1645,CE,4500,1750,8.411832676,7.467371067,0.388888889,1.270382722
Battle of Jankov,State,Europe,Hist,1645,1645,CE,32000,6000,10.37349118,8.699514748,0.1875,1.148927624
Battle of Jarte,State,Europe/ East Africa,Hist,1542,1542,CE,14800,811,9.60238246,6.698268054,0.054797297,1.032779513
Battle of Jemmingen,State,Europe,Hist,1568,1568,CE,27000,7080,10.20359214,8.865029187,0.262222222,1.184279501
Battle of Jodoigne,State,Europe,Hist,1568,1568,CE,51500,3020,10.84933709,8.01301211,0.058640777,1.035260297
Battle of Kawanakajima 4,State,East Asia,Hist,1553,1554,CE,38000,7300,10.54534144,8.895629627,0.192105263,1.148801632
Battle of Keresztes,State,Europe/ West Asia,Hist,1596,1596,CE,145000,45500,11.88448902,10.7254676,0.313793103,1.173322926
Battle of Khotyn 1,State,Europe/ Cent. Asia,Hist,1621,1621,CE,195000,54000,12.18075484,10.89673933,0.276923077,1.158845682
Battle of Kirchholm,State,Europe,Hist,1605,1605,CE,14468,7900,9.579694593,8.974618038,0.546032624,1.272847871
Battle of Kliszow,State,Europe,Hist,1702,1702,CE,36000,5500,10.49127422,8.612503371,0.152777778,1.127735197
Battle of Klushino,State,Europe/ Cent. Asia,Hist,1610,1610,CE,41700,5400,10.63825641,8.594154233,0.129496403,1.110429153
