conflict.name,midpoint,W,C,CL.total,D,W_D,C_D,CL.annual
Timurid Conquest,1388,1500000,17000000,1.397063056,36,41666.6666666667,472222.222222222,1.4742716425
Sri Lankan Civil War (1983  - 2009),1996,280000,100000,1.174546428,27,10370.3703703704,3703.7037037037,1.1717018011
Punic War 1st,-253,1147000,285000,1.13090406,24,47791.6666666667,11875,1.1136821
Chinese Civil War,1938,8300000,8000000,1.199730641,23,360869.565217391,347826.086956522,1.2016588811
Yellow Turban Rebellion,195,2350000,5000000,1.270887422,22,106818.181818182,227272.727272727,1.2912472901
Mongol Invasion of Rus,1232,135000,507000,1.384500169,18,7500,28166.6666666667,1.4416320709
Punic War 2nd,-210,1518500,626000,1.163894445,18,84361.1111111111,34777.7777777778,1.1526217946
Goguryeo-Sui War,606,2300000,2000000,1.210201097,17,135294.117647059,117647.058823529,1.2096902775
Taiping Rebellion,1857,1600000,50000000,1.466269195,15,106666.666666667,3333333.33333333,1.523371545
Philippine  - American War (1899  - 1912),1905.5,135000,234000,1.319047877,14,9642.8571428572,16714.2857142857,1.345253062
War in Darfur (2003  - present),2009,240000,461520,1.312612129,13,18461.5384615385,35501.5384615385,1.3329974725
Cimbrian War,-107,650000,600000,1.234508553,13,50000,46153.8461538462,1.2345013977
Vietnam War ,1969,2273813,1387232,1.186153849,13,174908.692307692,106710.153846154,1.1758734816
Napoleonic Wars,1809,18000000,5000000,1.116003569,13,1384615.38461538,384615.384615385,1.0945030994
Algerian Civil War (1991  - 2002),1996.5,180000,200000,1.274714108,12,15000,16666.6666666667,1.2831438676
Mohave,1895,100,69,1.61839455,11,9.0909090909,6.2727272727,2.0176494749
Soviet war in Afghanistan,1984,390000,1200000,1.337334082,11,35454.5454545455,109090.909090909,1.3571232842
Mozambican War of Independence (1964  - 1974),1969,62500,88500,1.322986242,11,5681.8181818182,8045.4545454546,1.3429870124
Ragamuffin War (1835  - 1845),1840,36000,20000,1.250788332,11,3272.7272727273,1818.1818181818,1.2507616642
An Lushan Rebellion,759,900000,24500000,1.475772288,9,100000,2722222.22222222,1.514320143
Gic Wars ,-54,480000,700000,1.274904153,9,53333.3333333333,77777.7777777778,1.2751288962
Algerian War of Independence (1954  - 1962),1958,903000,925000,1.236478817,9,100333.333333333,102777.777777778,1.2293599284
Second Sino-Japanese War,1941,18100000,25000000,1.211941246,9,2011111.11111111,2777777.77777778,1.2025781749
First Indochina War (1946  - 1954),1950,850000,400000,1.18055413,9,94444.4444444444,44444.4444444444,1.1626712578
Iran Iraq War,1895,2300000,530000,1.119541116,9,255555.555555556,58888.8888888889,1.0923211333
Iran  - Iraq War/First Persian Gulf War,1984,4900000,1000000,1.105788219,9,544444.444444444,111111.111111111,1.0778390296
Japanese invasions of Korea,1595,612100,1130000,1.287583749,7,87442.8571428571,161428.571428571,1.2838954801
War of the Triple Alliance ,1867,390000,440000,1.259401059,7,55714.2857142857,62857.1428571429,1.2505422642
World War II,1942,106600000,72500000,1.153283262,7,15228571.4285714,10357142.8571429,1.1349441648
Syrian Civil War (2011  - present),2013,597500,470000,1.223965422,5,119500,94000,1.2033410041
Bosnian War (1991  - 1995),1993,357000,100000,1.152228039,5,71400,20000,1.1203224631
American Civil War (1861  - 1865),1863,3050000,800000,1.125955026,5,610000,160000,1.0960130716
World War I,1916,65050000,20000000,1.113361662,5,13010000,4000000,1.0877755826
Biafra War,1968.5,150000,1000000,1.429252237,4,37500,250000,1.428634123
Punic War 3rd,-148,484000,367000,1.224766133,4,121000,91750,1.1999883466
Korean War,1951.5,2614814,1200000,1.165125084,4,653703.5,300000,1.1372941189
Spanish Civil War (1936  - 1939),1937.5,1500000,500000,1.149094098,4,375000,125000,1.1183265492
Changping,-261,1000000,650000,1.201808894,3,333333.333333333,216666.666666667,1.1719375964
Second Anglo-Dutch War,1666,41250,12368,1.18954175,3,13750,4122.6666666667,1.1482619103
Siege of Syracuse,-213,41000,12000,1.18737869,3,13666.6666666667,4000,1.145822952
First Persian Invasion of Greece ,-491,37000,8400,1.165057853,3,12333.3333333333,2800,1.1204461036
Ming-Mong Mao War,1387,230000,31600,1.099948985,3,76666.6666666667,10533.3333333333,1.0562248734
Ming-Ho War,1407,350000,7000000,1.486821226,2,175000,3500000,1.4649417214
Siege of Mirandola,1552,4400,2000,1.289702494,2,2200,1000,1.2376283717
Siege of Chittorgarh,1568,88000,88000,1.282727254,2,44000,44000,1.2447913695
Siege of Orleans,1429,14400,6000,1.244742677,2,7200,3000,1.1961111465
Kalinga War ,-262,470000,350000,1.223887215,2,235000,175000,1.1877926982
Siege of Breda,1624.5,39000,13000,1.200567588,2,19500,6500,1.1537413902
Siege of Haarlem,1572.5,25275,7700,1.200272864,2,12637.5,3850,1.1512744898
Siege of Ulsan,1597.5,78500,21200,1.169443983,2,39250,10600,1.1236750488
Mons Graupius,84,46000,10360,1.16096524,2,23000,5180,1.1121755144
Siege of Famagusta,1570.5,208500,58500,1.159047367,2,104250,29250,1.1165241298
Battle of Kawanakajima 4,1554,38000,7300,1.148801632,2,19000,3650,1.0982100029
Siege of Rhodes,-305,41200,6700,1.131989417,2,20600,3350,1.0806364009
Guiling,-354,160000,30000,1.128925022,2,80000,15000,1.0835551485
Siege of Metz France vs Holy Roman Empire,1553,116000,20000,1.12528725,2,58000,10000,1.0783572559
Siege of Kawagoe Castle,1546,96000,15000,1.118773147,2,48000,7500,1.0706003278
Siege of Leiden,1573.5,26000,2500,1.086276097,2,13000,1250,1.0290825105
