name,conflict,year,population,casualties,C_P,Z
Australia,WWI,1914,5000000,62149,0.0124298,0.7965865671
Canada,WWI,1914,7200000,64996,0.0090272222,0.7810270257
India,WWI,1914,315100000,73905,0.0002345446,0.6367690828
New Zealand,WWI,1914,1100000,18166,0.0165145455,0.7948721319
South Africa,WWI,1914,6000000,9726,0.001621,0.6684432778
United Kingdom,WWI,1914,45400000,887858,0.0195563436,0.8477434422
Belgium,WWI,1914,7400000,58637,0.0079239189,0.7731646468
France,WWI,1914,39600000,1397800,0.0352979798,0.8803091261
Italy,WWI,1914,35600000,651000,0.0182865169,0.841753089
Japan,WWI,1914,53600000,4661,0.000086959,0.5448654015
Montenegro,WWI,1914,500000,13325,0.02665,0.8190151181
Portugal,WWI,1914,6000000,7222,0.0012036667,0.6493707053
Romania,WWI,1914,7500000,335706,0.0447608,0.8827316942
Russia,WWI,1914,175000000,2254369,0.0128821086,0.8365726734
Serbia,WWI,1914,4500000,450000,0.1,0.9312926462
USA,WWI,1914,92000000,116708,0.0012685652,0.7044356432
Austria-Hungary,WWI,1914,51400000,1494200,0.0290700389,0.8711342542
Bulgaria,WWI,1914,5500000,87500,0.0159090909,0.8137371354
German Empire,WWI,1914,64900000,2037000,0.0313867488,0.8770675611
Ottoman Empire,WWI,1914,21300000,771844,0.0362368075,0.8774661322
Albania,WWII,1945,1073000,30000,0.0279589935,0.8324207972
Australia,WWII,1945,6968000,40400,0.0057979334,0.7524733837
Nauru,WWII,1945,3400,500,0.1470588235,0.9179851995
Papua New Guinea,WWII,1945,1292000,15000,0.0116099071,0.7721754093
Belgium,WWII,1945,8387000,88000,0.0104924288,0.7925577418
RuandaUrundi,WWII,1945,3800000,300000,0.0789473684,0.9149231947
Bulgaria,WWII,1945,6458000,21500,0.0033292041,0.7158948086
Burma,WWII,1945,16119000,252600,0.0156709473,0.8248966042
Canada,WWII,1945,11267000,43600,0.003869708,0.7348982909
China,WWII,1945,517568000,17000000,0.0328459256,0.8920534038
Czechoslovakia,WWII,1945,14612000,355000,0.0242950999,0.8504327479
Denmark,WWII,1945,3795000,6000,0.0015810277,0.6567696509
Dutch East Indies,WWII,1945,69435000,3500000,0.0504068553,0.9037649081
Egypt,WWII,1945,16492000,1100,0.000066699,0.4966235719
South Pacific Mandate Japan,WWII,1945,127000,10000,0.0787401575,0.890096019
Estonia,WWII,1945,1134000,83000,0.0731922399,0.9021143741
Ethiopia,WWII,1945,17700000,100000,0.0056497175,0.7647483193
Finland,WWII,1945,3700000,95000,0.0256756757,0.8405038717
France,WWII,1945,41680000,600000,0.0143953935,0.8295389227
French Indochina,WWII,1945,24664000,2000000,0.0810898476,0.9258450443
Germany,WWII,1945,69300000,7400000,0.1067821068,0.945333411
Greece,WWII,1945,7222000,500000,0.0692328995,0.910068099
Guam,WWII,1945,22800,1500,0.0657894737,0.8533782086
Hungary,WWII,1945,9129000,564000,0.061781137,0.9042775547
India,WWII,1945,377800000,25000000,0.0661725781,0.9257983988
Italy,WWII,1945,44394000,492400,0.011091589,0.8153431438
Japan,WWII,1945,71380000,3000000,0.0420285794,0.8938598344
Korea,WWII,1945,24326000,533000,0.0219107128,0.8488413983
Latvia,WWII,1945,1994500,250000,0.1253446979,0.9430114101
Lithuania,WWII,1945,2575000,370000,0.1436893204,0.9532505772
Luxembourg,WWII,1945,295000,5000,0.0169491525,0.7754997083
Malaya,WWII,1945,5118000,100000,0.0195388824,0.826172682
Netherlands,WWII,1945,8729000,210000,0.0240577386,0.8449970712
Norway,WWII,1945,2945000,10200,0.0034634975,0.7035732774
Philippines,WWII,1945,16000303,527000,0.0329368763,0.8695966825
Poland,WWII,1945,34849000,6000000,0.1721713679,0.9706764631
Portuguese Timor,WWII,1945,480000,50000,0.1041666667,0.9226584753
Romania,WWII,1945,15970000,500000,0.0313087038,0.8665252201
South Africa,WWII,1945,10160000,11900,0.0011712598,0.6591255023
Soviet Union,WWII,1945,188793000,25000000,0.1324201639,0.9595008365
Sweden,WWII,1945,6341000,2100,0.000331178,0.5682159704
Thailand,WWII,1945,15023000,7600,0.000505891,0.6163911041
UK,WWII,1945,47760000,450900,0.0094409548,0.8069935805
USA,WWII,1945,131028000,419400,0.0032008426,0.7595450586
Yugoslavia,WWII,1945,15490000,1500000,0.0968366688,0.934481027
USA,American Revolution (1775-1783),1777,3918000,4435,0.0011319551,0.635481276
USA,War of 1812 (1812-1815),1812,10086000,2260,0.000224073,0.5564163601
USA,Mexican War (1846-1848),1846,17069453,13283,0.0007781737,0.6451921819
USA,Civil War 1861-1865,1861,31443321,1032007,0.0328211832,0.8744959217
USA,Spanish-American War (1898-1902),1898,76212168,2446,3.20946125033472E-05,0.498771847
USA,Korean War (1950-1953),1950,154877889,54246,0.0003502501,0.6443528584
USA,Vietnam War (1964-1975),1964,207660677,58220,0.0002803612,0.6381774066
USA,Gulf War (1990-1991),1990,249438712,1948,7.80953358995856E-06,0.4564107209
UK,First Anglo-Burmese War,1824,20000000,15000,0.00075,0.6463425894
UK,Lower Canada Rebellion,1837,20600000,32,1.55339805825243E-06,0.2800194877
UK,First Opium War,1839,21218000,69,0.000003252,0.3250744564
UK,First Anglo-Afghan War,1839,21854540,5062,0.0002316224,0.5786733976
