stateabb,ccode,year,Population,military.size,WG.percentage,DCI
AFG,700,1920,2102000,55000,2.62%,0.8627360298
AFG,700,1921,2127000,55000,2.59%,0.8619788557
AFG,700,1922,2152000,55000,2.56%,0.861231834
AFG,700,1923,2177333,65000,2.99%,0.8728639117
AFG,700,1924,2203000,65000,2.95%,0.8721065663
AFG,700,1925,2229000,76000,3.41%,0.8829150274
AFG,700,1926,2255000,76000,3.37%,0.8821582605
AFG,700,1927,2281667,76000,3.33%,0.8813924226
AFG,700,1928,2308333,60000,2.60%,0.8631955301
AFG,700,1929,2335667,60000,2.57%,0.8624464668
AFG,700,1930,2363000,60000,2.54%,0.8617073951
AFG,700,1931,2391000,60000,2.51%,0.8609603984
AFG,700,1932,2419000,60000,2.48%,0.8602233703
AFG,700,1933,2447667,72000,2.94%,0.8728730087
AFG,700,1934,2476333,45000,1.82%,0.8376279597
AFG,700,1935,2505333,72000,2.87%,0.8713823031
AFG,700,1936,2535000,103000,4.06%,0.8968679594
AFG,700,1937,2564667,103000,4.02%,0.8961039826
AFG,700,1938,2595000,103000,3.97%,0.8953332424
AFG,700,1939,2625333,103000,3.92%,0.8945727611
AFG,700,1940,2656333,60000,2.26%,0.8543440537
AFG,700,1941,2687667,90000,3.35%,0.8831970265
AFG,700,1942,2719333,90000,3.31%,0.8824428546
AFG,700,1943,2751333,90000,3.27%,0.8816908978
AFG,700,1944,2783667,90000,3.23%,0.8809412171
AFG,700,1945,2816333,90000,3.20%,0.8801938702
AFG,700,1946,2849667,90000,3.16%,0.8794414375
AFG,700,1947,2883000,100000,3.47%,0.8863472893
AFG,700,1948,2917000,90000,3.09%,0.8779518094
AFG,700,1949,2951333,75000,2.54%,0.8639948114
AFG,700,1950,2986000,75000,2.51%,0.8632642667
AFG,700,1951,3031000,60000,1.98%,0.846190656
AFG,700,1952,3079333,60000,1.95%,0.8452234867
AFG,700,1953,3131000,41000,1.31%,0.8167324133
AFG,700,1954,3186000,41000,1.29%,0.8157074253
AFG,700,1955,3244667,43000,1.33%,0.8180641639
AFG,700,1956,3307000,43000,1.30%,0.8169452926
AFG,700,1957,3373000,43000,1.27%,0.8157865972
AFG,700,1958,3442333,43000,1.25%,0.8145969795
AFG,700,1959,3515333,50000,1.42%,0.8241667812
AFG,700,1960,3591667,60000,1.67%,0.8359288932
AFG,700,1961,3671333,110000,3.00%,0.8778620978
AFG,700,1962,3754000,104000,2.77%,0.8724747501
AFG,700,1963,3840333,110000,2.86%,0.8750526642
AFG,700,1964,3930333,112000,2.85%,0.8748927741
AFG,700,1965,4023667,97000,2.41%,0.863246308
AFG,700,1966,4119333,97000,2.35%,0.8618110196
AFG,700,1967,4217333,95000,2.25%,0.8589079102
AFG,700,1968,4319000,89000,2.06%,0.8528641209
AFG,700,1969,4426667,89000,2.01%,0.8513857181
AFG,700,1970,4541000,91000,2.00%,0.8514217308
AFG,700,1971,4661333,91000,1.95%,0.8498597212
AFG,700,1972,4785333,91000,1.90%,0.8482975003
AFG,700,1973,4908000,91000,1.85%,0.8467968379
AFG,700,1974,5023333,80000,1.59%,0.8364345693
AFG,700,1975,5126000,130000,2.54%,0.8690858021
AFG,700,1976,5217667,142000,2.72%,0.8741584309
AFG,700,1977,5297333,143000,2.70%,0.8737253997
AFG,700,1978,5354667,110000,2.05%,0.8548457643
AFG,700,1979,5376000,89000,1.66%,0.8398971332
AFG,700,1980,5354333,43000,0.80%,0.7895981234
AFG,700,1981,5287333,45000,0.85%,0.7934504608
AFG,700,1982,5183000,55000,1.06%,0.8085235631
AFG,700,1983,5059000,46000,0.91%,0.7974263054
AFG,700,1984,4938000,46000,0.93%,0.7987749599
AFG,700,1985,4839667,47000,0.97%,0.8014036063
AFG,700,1986,4766667,47000,0.99%,0.8022566492
AFG,700,1987,4721667,50000,1.06%,0.8071262854
AFG,700,1988,4720667,55000,1.17%,0.8138178654
AFG,700,1989,4782000,55000,1.15%,0.8130822807
AFG,700,1990,4918000,58000,1.18%,0.8152003045
AFG,700,1991,5134333,45000,0.88%,0.7950737548
AFG,700,1992,5425333,45000,0.83%,0.7920315591
AFG,700,1993,5774000,45000,0.78%,0.7886223419
AFG,700,1994,6156667,45000,0.73%,0.7851405254
AFG,700,1999,7307667,400000,5.47%,0.9245572778
AFG,700,2000,7573333,400000,5.28%,0.9223176682
AFG,700,2002,7643333,50000,0.65%,0.7807702984
AFG,700,2003,7614000,60000,0.79%,0.7933372719
AFG,700,2004,7584333,43000,0.57%,0.7709505334
AFG,700,2005,7555000,27000,0.36%,0.7395798611
AFG,700,2006,7525333,27000,0.36%,0.7397773388
AFG,700,2007,7496000,50000,0.67%,0.7818019217
ALB,339,1914,241333,2000,0.83%,0.7346455101
ALB,339,1915,245000,2000,0.82%,0.7336660755
ALB,339,1916,249000,2000,0.80%,0.732617085
ALB,339,1917,253000,2000,0.79%,0.7315877364
ALB,339,1918,257000,3000,1.17%,0.7662753035
ALB,339,1919,261000,3000,1.15%,0.7652347766
ALB,339,1920,265000,4000,1.51%,0.7894727588
ALB,339,1921,269333,3000,1.11%,0.7631259958
ALB,339,1922,273667,5000,1.83%,0.8067861815
ALB,339,1923,278000,8000,2.88%,0.8467737845
ALB,339,1924,282333,8000,2.83%,0.8456301386
ALB,339,1925,287000,8000,2.79%,0.8444213538
ALB,339,1926,291333,8000,2.75%,0.8433194017
ALB,339,1927,296000,8000,2.70%,0.8421540036
ALB,339,1928,300667,10000,3.33%,0.8603882438
ALB,339,1929,305333,11000,3.60%,0.8675048717
ALB,339,1930,310333,11000,3.54%,0.8662845494
ALB,339,1931,315333,11000,3.49%,0.865087079
ALB,339,1932,320333,13000,4.06%,0.8783396251
ALB,339,1933,325333,13000,4.00%,0.8771662693
ALB,339,1934,330333,13000,3.94%,0.8760138693
ALB,339,1935,335000,9000,2.69%,0.8433196586
ALB,339,1936,338000,9000,2.66%,0.8426733055
ALB,339,1937,343333,9000,2.62%,0.8415406662
ALB,339,1938,346667,9000,2.60%,0.8408431851
ALB,339,1939,356667,9000,2.52%,0.8387969796
ALB,339,1944,370667,60000,16.19%,0.997851401
ALB,339,1945,374000,60000,16.04%,0.997090038
ALB,339,1946,379333,60000,15.82%,0.9958882287
ALB,339,1947,384667,60000,15.60%,0.9947060325
ALB,339,1948,388000,60000,15.46%,0.993976857
ALB,339,1949,394333,65000,16.48%,0.9994025444
ALB,339,1950,405000,60000,14.81%,0.9903686849
