Time,year,Gold,Phosphates,Tobacco
1980M01,1980,675.31,43.5,2286.27
1980M02,1980,665.32,47,2300.11
1980M03,1980,553.58,47,2292.46
1980M04,1980,517.41,47,2323.69
1980M05,1980,513.8,47,2305.8
1980M06,1980,600.72,47,2297.72
1980M07,1980,643.27,47,2297.52
1980M08,1980,627.15,47,2263.02
1980M09,1980,673.63,47,2226.88
1980M10,1980,661.15,47,2224.33
1980M11,1980,624.77,47,2258.46
1980M12,1980,538.26,47,2234.06
1981M01,1981,557.39,49.5,2271.12
1981M02,1981,499.76,49.5,2288.69
1981M03,1981,499.11,49.5,2286.29
1981M04,1981,495.8,49.5,2292.45
1981M05,1981,479.7,49.5,2296.24
1981M06,1981,461.09,49.5,2298.17
1981M07,1981,409.07,49.5,2283.32
1981M08,1981,410.16,49.5,2313.73
1981M09,1981,443.75,49.5,2309.46
1981M10,1981,437.76,49.5,2378.4
1981M11,1981,413.37,49.5,2405.27
1981M12,1981,410.09,49.5,2437.1
1982M01,1982,384.14,49.5,2471.1
1982M02,1982,374.13,49,2535.74
1982M03,1982,330.25,42.5,2566.26
1982M04,1982,350.3,42.5,2610.86
1982M05,1982,333.71,42.5,2652.52
1982M06,1982,314.98,42.5,2635.91
1982M07,1982,338.97,40,2597.12
1982M08,1982,364.23,40,2554.87
1982M09,1982,437.31,40,2585.79
1982M10,1982,422.15,40,2516.15
1982M11,1982,414.89,40,2485
1982M12,1982,444.5,40,2556.16
1983M01,1983,481.29,38,2572.24
1983M02,1983,491.09,40,2598.64
1983M03,1983,419.7,40,2601.79
1983M04,1983,432.88,36.5,2619.76
1983M05,1983,438.01,38,2613
1983M06,1983,412.84,36.5,2637.52
1983M07,1983,402.91,34.5,2668.06
1983M08,1983,416.2,35.5,2692.84
1983M09,1983,411.8,35.5,2678.49
1983M10,1983,393.6,35.5,2741.07
1983M11,1983,381.7,36.5,2745.91
1983M12,1983,388.34,36.5,2709.22
1984M01,1984,370.89,38,2675.78
1984M02,1984,385.96,36.5,2630.46
1984M03,1984,394.26,38,2632.91
1984M04,1984,381.37,38.5,2627.55
