year,Date,Aluminium,Banana,Beef,Cocoa,Coffee_Arabica,Coffee_Robusta,Copper,Cotton,Groundnuts,Iron,Lamb,Wood,Nickel,Oil,Swine,Fish,Sugar,Tea,Uranium
1980,1980M1,2054.86,401.96,136.36,3167.16,168.67,162.56,2592.63,88.72,980.08,12.15,117.23,146.08,6584.8,35.64,72.42,7.45,17.3,225.18,40
1980,1980M2,2131.01,372.19,134.55,3236.82,164.83,162,2916.71,97.21,1000.38,12.15,122.01,159.57,6978.93,35.09,65.53,7.6,22.75,233.09,38
1980,1980M3,1978.38,422.91,118,3091.1,184.38,169.89,2303.83,93.53,1009.4,12.15,119.32,155.28,6733.79,36.01,65,7.4,19.63,226.83,35
1980,1980M4,1932.46,395.9,114.51,2910.1,180.81,162.9,2074.55,90.56,1015.04,12.15,132.72,152.79,6233.37,35.09,51.86,7.43,21.25,221.81,32
1980,1980M5,1775.8,444.97,110.5,2585.8,190.54,174.06,2076.75,88.4,1035.34,12.15,142.07,162.74,6000.77,35.72,54.9,7.69,30.94,229.61,32
1980,1980M6,1668.96,342.41,113.89,2498.05,181.41,169.01,2006.2,84.14,1043.23,12.15,141.63,164.43,6294.83,35.54,62.47,8.02,30.8,235.41,31.5
1980,1980M7,1758.07,351.78,124.96,2464.77,155.67,147.94,2175.96,88.87,992.48,12.15,146.38,141.14,6622.17,34.33,84.68,8.32,27.7,222.29,31.5
1980,1980M8,1783.63,342.41,132.51,2312.21,135.99,132.05,2081.16,96.37,1060.15,12.15,140.96,134.52,6584.51,31.88,102.72,8.47,31.77,226.04,30
1980,1980M9,1655.07,352.89,129.15,2386.06,125.88,124.96,2059.11,101.12,1353.38,12.15,132.49,159.13,6655.36,31.91,101.18,8.57,34.74,209.75,28.5
1980,1980M10,1626.15,325.32,129.83,2305.37,126.09,125.49,2045.89,98.69,1917.29,12.15,134.36,105.06,6691.95,37.25,108.96,8.51,40.55,203.66,28
1980,1980M11,1503.91,379.35,133.25,2173.76,114.86,116.36,2010.61,98.03,2706.77,12.15,124.2,107.98,6452.67,40.97,112.69,8.35,37.81,223.57,28
1980,1980M12,1430.66,369.98,124.77,2109.82,121.21,118.54,1878.34,99.16,2622.18,12.15,120.62,109.44,6390.91,39.05,102.33,7.98,28.79,216.25,27
1981,1981M1,1430.83,387.62,121.73,2093.07,127.98,122.13,1876.13,99.51,2255.64,12.15,133.28,112.35,6403.77,38.69,92.77,7.75,27.78,217.38,25
1981,1981M2,1452.38,435.6,116.75,2040.82,125.11,115.48,1803.38,95.85,1691.73,12.15,134.12,109.12,6370.75,36.75,93.33,7.37,24.09,222.84,25
1981,1981M3,1442.95,459.31,113.3,2115.77,125.93,113.92,1816.61,91.72,1578.95,12.15,124.75,106.78,6292.43,36.44,76.68,7.39,21.81,221.72,25
1981,1981M4,1369.23,425.67,114.8,2109.6,128.2,112.93,1823.22,88.65,1590.23,12.15,136.17,102.29,6307.06,35.7,92.34,7.27,17.83,216.14,25
1981,1981M5,1297,449.93,112.95,1933.01,125.93,108.38,1746.06,87.51,1587.97,12.15,146.3,104.56,6352.16,33.32,85.2,7.02,15.08,208.2,25
1981,1981M6,1232.41,388.18,110.48,1660.3,111.94,85.23,1699.76,86.36,1382.71,12.15,135.45,102.43,6169.46,31.6,105.26,6.9,16.38,199.41,24.25
1981,1981M7,1175.31,329.73,109.5,2048.31,120.01,88.25,1682.12,85.27,1325.19,12.15,113.13,91.62,6150.34,31.63,102.37,6.85,16.34,186.55,23.5
1981,1981M8,1230.83,305.47,109.5,2246.95,124.09,90.39,1787.95,80.72,1233.83,12.15,101.22,88.84,5999.12,31.99,110.38,6.92,14.76,175.42,23.5
1981,1981M9,1168.91,435.04,111.5,2337.12,126.02,88.88,1706.38,77.24,1179.7,12.15,112.4,88.2,5579.06,31.77,113.59,7.21,11.65,179.87,23.5
1981,1981M10,1140.18,389.28,110.38,2172.65,136.41,98.51,1664.49,75,1103.01,12.15,120.59,92.25,5216.71,32.61,105.3,7.33,12.04,192.57,23.5
1981,1981M11,1081.85,395.9,107.53,2056.47,143.79,106.33,1651.26,72.01,1069.17,12.15,122.25,102.43,5100.25,34.05,105.35,7.5,11.97,201.11,23.5
