cownr,cowid,d,d.s,iwar,cwar
2,USA,10,-0.75,0,0
20,CAN,10,10,0,0
40,CUB,-7,3.8,1,1
41,HAI,-7,3,0,0
42,DOM,6,-1.333,0,0
51,JAM,10,-2.667,0,0
52,TRI,9,1,0,0
70,MEX,0,3.167,0,0
90,GUA,3,3.25,0,0
91,HON,6,4,0,0
92,SAL,8,1.667,0,1
93,NIC,-1,3.857,0,1
94,COS,10,2.6,0,0
95,PAN,-8,6.25,0,0
100,COL,8,4.857,0,1
101,VEN,9,4.5,0,0
110,GUY,-7,8.667,0,0
130,ECU,9,7.5,0,0
135,PER,7,6.6,0,1
140,BRA,8,4.375,0,0
145,BOL,9,2.8,0,0
150,PAR,-8,8.5,0,0
155,CHL,-1,8,0,0
160,ARG,8,3.4,0,0
165,URU,9,2.667,0,0
200,UK,10,9.714,0,0
205,IRE,10,10,0,0
210,NTH,10,5.091,0,0
211,BEL,10,6.2,0,0
212,LUX,10,6.2,0,0
220,FRN,8,7,0,1
225,SWZ,10,5.2,0,0
230,SPN,10,2.8,0,0
235,POR,10,4.333,0,0
260,GFR,10,4.294,0,0
265,GDR,-9,4.8,0,0
290,POL,-6,0.3,0,0
305,AUS,10,1.154,0,0
310,HUN,-2,-1.417,0,0
315,CZE,-7,3,0,0
325,ITA,10,1.059,0,0
339,ALB,-9,0.714,0,0
345,YUG,-5,0.214,0,0
350,GRC,10,-2,0,0
352,CYP,10,-1.625,0,0
355,BUL,-7,-0.375,0,0
360,RUM,-8,-1.5,0,0
365,RUS,-6,1.25,0,1
375,FIN,10,4.667,0,0
380,SWD,10,3.625,0,0
385,NOR,10,7.333,0,0
390,DEN,10,1.5,0,0
404,GNB,-8,-3.167,0,0
411,EQG,-7,-8,0,0
420,GAM,8,-5.833,0,0
426,NIR,-7,-7.3,0,0
432,MLI,-7,-5.688,0,0
433,SEN,1,-5.286,0,0
434,BEN,-7,-7,0,0
435,MAA,-7,-4.25,0,0
437,CDI,-9,-5.875,0,0
438,GUI,-7,-4.667,0,0
439,BFO,-7,-7.1,0,0
450,LBR,-6,-7.4,0,0
451,SIE,-7,-4,0,0
452,GHA,-7,-7.286,0,0
461,TOG,-7,-7.286,0,0
471,CAO,-8,-7.625,0,0
475,NIG,-7,-7.1,0,0
481,GAB,-9,-7.667,0,0
482,CEN,-7,-6,0,0
483,CHA,-7,-5.778,0,1
484,CON,-8,-7.833,0,0
490,DRC,-9,-6.562,0,0
500,UGA,-7,-5.286,0,1
501,KEN,-7,-5.625,0,0
510,TAZ,-7,-7.6,0,1
516,BUI,-7,-7.667,0,1
517,RWA,-7,-7.4,0,0
520,SOM,-7,-7,0,1
522,DJI,-8,-8,0,0
530,ETH,-8,-5,1,0
540,ANG,-7,-5.5,0,1
541,MZM,-7,-5.273,0,1
551,ZAM,-9,-5.5,0,0
552,ZIM,-6,-4.875,0,1
553,MAW,-9,-7.6,0,0
560,SAF,4,-4.4,0,1
570,LES,-7,-1.25,0,0
571,BOT,8,-5.333,0,0
572,SWA,-10,-4,0,0
580,MAG,-6,-7,0,0
581,COM,-7,-7,0,0
600,MOR,-5,-0.6,0,0
615,ALG,-9,-2.778,0,0
616,TUN,-5,-2,0,0
620,LIB,-7,-0.75,0,1
625,SUD,7,-7.444,0,1
630,IRN,-6,-6.167,1,1
640,TUR,7,-3.769,0,0
645,IRQ,-9,-5.4,1,1
651,EGY,-5,-1.6,0,0
652,SYR,-9,-2.9,0,1
660,LEB,-10,-2,0,1
663,JOR,-9,-2.125,0,0
666,ISR,9,-4.375,0,1
670,SAU,-10,-6.353,0,0
678,YEM,-5,-8.6,0,0
680,YPR,-7,-8.6,0,0
690,KUW,-10,-9,0,0
692,BAH,-10,-8.833,0,0
694,QAT,-10,-9,0,0
696,UAE,-8,-8.286,0,0
698,OMA,-10,-5.429,0,0
700,AFG,-7,-0.6,0,1
710,CHN,-7,-1.812,0,0
712,MON,-7,-6.5,0,0
713,TAW,-1,3.667,0,0
731,PRK,-9,-1.333,0,0
732,ROK,9,-2,0,0
740,JPN,10,0.6,0,0
750,IND,8,-3.333,0,1
760,BHU,-8,-2.8,0,0
770,PAK,8,-4.667,0,0
771,BNG,-5,-3.4,0,0
775,MYA,-8,-2.778,0,1
780,SRI,5,8,0,1
790,NEP,-2,-3,0,0
800,THI,3,-5.429,0,0
811,CAM,-7,-4.75,0,1
812,LAO,-7,-5.2,0,0
816,DRV,-7,-4,0,1
820,MAL,5,-2.167,0,0
830,SIN,-2,-1,0,0
840,PHI,8,1.75,0,1
850,INS,-7,2.833,0,0
900,AUL,10,1.5,0,0
910,PNG,10,3.5,0,0
950,FJI,-3,10,0,0
